name,group,groupStr,load1,load2,load3
DMSS030,2,Old,0.211580479315839,0.320010253525034,0.522930154942178
DMSS031,2,Old,-0.0488391742673336,-0.0036985002324778,-1.25768414474224
DMSS032,2,Old,-0.477143811375923,-0.348876833609515,-0.298088847997071
DMSS036,2,Old,-0.438714792813312,-0.468454850056273,0.0296135780235628
DMSS037,2,Old,-0.884892377118158,-0.896036525420199,-1.20755427991873
DMSS038,2,Old,-0.055624647411514,-0.140723007873954,0.11066555468469
DMSS039,2,Old,-0.27633135674129,-0.154199774776243,-0.21307542184266
DMSS040,2,Old,0.0454804088897972,-0.0598732565704169,-0.0900125076718572
DMSS041,2,Old,-1.10583708444346,-1.31654320841074,-1.41198465600698
DMSS046,2,Old,-0.953021582644436,-0.903976140557744,-0.84890293825882
DMSS050,2,Old,-0.185545294503151,0.119207220434208,-0.145750160116256
DMSS051,2,Old,0.16445510412984,-0.596463054475062,-0.741257172042363
DMSS052,2,Old,0.185314520643621,0.0080148689121411,0.141955067686331
DMSS053,2,Old,-0.075491791914726,-0.312521081683874,-0.311536794845472
DMSS054,2,Old,-0.397230375679545,-0.858757496823787,-0.388514655283938
DMSS055,2,Old,-0.589338778587632,-0.249956630228711,-0.649096691075235
DMSS056,2,Old,0.62908750238497,-0.855709540864745,-1.96880429218189
DMSS057,2,Old,-0.119307992229704,-0.0807414091742977,0.139308023834669
DMSS058,2,Old,-0.424004010475084,-0.315987527882935,-0.285556605518167
DMSS059,2,Old,-0.328638764233253,-0.503324998663326,-0.368664181276912
DMSS061,2,Old,0.0738498938067656,-2.05050475562482,-0.270457440542672
dmss01,1,Young,-0.423016887485084,0.208862347729981,0.126489841271358
dmss02,1,Young,-1.15868934430974,-0.563921605864653,-0.601575107707959
dmss03,1,Young,0.314013467892286,0.243584092017378,0.0541582192630103
dmss06,1,Young,-0.164615259235695,-0.324970604262372,-0.242892915824333
dmss07,1,Young,0.0351460620659218,0.632171318307741,0.0587162120756352
dmss08,1,Young,-0.808638770087943,-0.748042068259142,-0.422062791111602
dmss11,1,Young,0.760045086200772,-0.266435533696306,0.391578295379458
dmss13,1,Young,0.142004849657518,0.234741100178542,0.0735508406073174
dmss14,1,Young,-0.462475218255075,-0.174357605835077,-0.352114760298206
dmss15,1,Young,0.132234363081831,0.145872870598546,-0.433507290397488
dmss16,1,Young,-0.317684897011676,0.132877425974815,0.410401159816384
dmss17,1,Young,0.340886483548492,0.169307467274723,0.0666097807253563
dmss19,1,Young,-0.290623080330731,0.36487937081688,-0.425783799822849
dmss20,1,Young,-0.193219595337696,-0.0418185154229127,-0.398625540897245
dmss21,1,Young,-0.372678196786993,-0.724340076355392,-0.016983778054707
dmss22,1,Young,0.379461035819224,0.325596336766743,0.272061672835558
dmss25,1,Young,-0.0507468729573832,0.279893997393595,0.408796105324944
dmss26,1,Young,0.404245044124518,0.40474935593568,-0.115604507039357
dmss27,1,Young,0.299059536599279,-0.152303965375428,-0.0888161578407195
dmss29,1,Young,0.325462113062107,0.046181577742709,-0.0309242024680991
