name,group,groupStr,delayVar,ss,beha,beha_Bnorm
dmss01,1,Young,0.135017978717233,1,0.954166666666667,0.970175962257478
dmss02,1,Young,-0.466904200483189,1,0.925,0.961718122104916
dmss03,1,Young,-0.499688495051807,1,0.904166666666667,0.9564732718493
dmss06,1,Young,-0.101481519749576,1,0.829166666666667,0.940150091967862
dmss07,1,Young,-0.151876230691057,1,0.8125,0.936828988937385
dmss08,1,Young,-0.190545174506048,1,0.9625,0.97299265494076
dmss11,1,Young,-0.234233551405893,1,0.95,0.968852256287683
dmss13,1,Young,-0.248708831468184,1,0.9875,0.984031056254403
dmss14,1,Young,-0.287005684997137,1,0.929166666666667,0.962830995864742
dmss15,1,Young,-0.179798730501395,1,0.929166666666667,0.962830995864742
dmss16,1,Young,0.114214393054475,1,0.979166666666667,0.97967532581775
dmss17,1,Young,-0.0399202792253997,1,0.9875,0.984031056254403
dmss19,1,Young,0.257400125085589,1,0.970833333333333,0.976108508962518
dmss20,1,Young,0.0257945935658163,1,0.841666666666667,0.94269360431168
dmss21,1,Young,0.00683763101900459,1,0.904166666666667,0.9564732718493
dmss22,1,Young,-0.163133100851463,1,0.9375,0.965138173049478
dmss25,1,Young,-0.120080812138227,1,0.8875,0.952570722423167
dmss26,1,Young,-0.251074461081992,1,0.933333333333333,0.963970086051883
dmss27,1,Young,0.0795661760424971,1,0.95,0.968852256287683
dmss29,1,Young,-0.0245352987023836,1,0.95,0.968852256287683
dmss01,1,Young,-0.0639725186947881,2,0.920833333333333,0.960629072810959
dmss02,1,Young,-0.172054558051943,2,0.895833333333333,0.954494914572728
dmss03,1,Young,-0.703503368502602,2,0.945833333333333,0.967574997578213
dmss06,1,Young,-0.0967831999701298,2,0.8125,0.936828988937385
dmss07,1,Young,0.0753044066140552,2,0.8125,0.936828988937385
dmss08,1,Young,-0.232333212943577,2,0.925,0.961718122104916
dmss11,1,Young,-0.446471186210404,2,0.895833333333333,0.954494914572728
dmss13,1,Young,-0.430814617664062,2,0.966666666666667,0.974506006179803
