name,group,groupStr,delayVar,ss,beha
dmss01,1,Young,0.487582871500873,1,0.954166666666667
dmss02,1,Young,-1.09403650735554,1,0.925
dmss03,1,Young,-0.328279199331518,1,0.904166666666667
dmss06,1,Young,-0.427900226760083,1,0.829166666666667
dmss07,1,Young,0.165129305362069,1,0.8125
dmss08,1,Young,-0.583102861858124,1,0.9625
dmss11,1,Young,0.554513051358968,1,0.95
dmss13,1,Young,0.349560464635714,1,0.9875
dmss14,1,Young,-0.764012443355935,1,0.929166666666667
dmss15,1,Young,-0.0792148778006789,1,0.929166666666667
dmss16,1,Young,0.237756186667869,1,0.979166666666667
dmss17,1,Young,0.40857348702188,1,0.9875
dmss19,1,Young,0.0734596178897043,1,0.970833333333333
dmss20,1,Young,-0.315101641674648,1,0.841666666666667
dmss21,1,Young,-0.023842477801883,1,0.904166666666667
dmss22,1,Young,-0.140943998179425,1,0.9375
dmss25,1,Young,-0.0324638463379392,1,0.8875
dmss26,1,Young,-0.645434299997044,1,0.933333333333333
dmss27,1,Young,-0.427943374851329,1,0.95
dmss29,1,Young,0.165341464071359,1,0.95
dmss01,1,Young,0.210384848061166,2,0.920833333333333
dmss02,1,Young,-0.787990976665183,2,0.895833333333333
dmss03,1,Young,-0.312863661119953,2,0.945833333333333
dmss06,1,Young,-0.160350984816385,2,0.8125
dmss07,1,Young,-0.0183593041193426,2,0.8125
dmss08,1,Young,-0.741718774363537,2,0.925
dmss11,1,Young,0.203990402501578,2,0.895833333333333
dmss13,1,Young,0.0609072831646652,2,0.966666666666667
dmss14,1,Young,-0.775596734079775,2,0.875
dmss15,1,Young,-0.171507165831875,2,0.916666666666667
dmss16,1,Young,-0.182546500630741,2,0.9375
dmss17,1,Young,0.308257926009352,2,0.925
dmss19,1,Young,-0.250803222049758,2,0.895833333333333
dmss20,1,Young,-0.346019351579754,2,0.75
dmss21,1,Young,-0.203895929321377,2,0.904166666666667
dmss22,1,Young,-0.209566212048038,2,0.916666666666667
dmss25,1,Young,-0.0212417876154075,2,0.829166666666667
dmss26,1,Young,-0.364642967295657,2,0.85
dmss27,1,Young,-0.931732054356886,2,0.9
dmss29,1,Young,0.342202942887645,2,0.85
dmss01,1,Young,0.274880271431841,4,0.845833333333333
dmss02,1,Young,-0.737210959271408,4,0.783333333333333
dmss03,1,Young,-0.427326494589971,4,0.8875
dmss06,1,Young,-0.366190520616197,4,0.683333333333333
dmss07,1,Young,0.209362432875723,4,0.758333333333333
dmss08,1,Young,-0.0931402905132024,4,0.891666666666667
dmss11,1,Young,0.189567755404543,4,0.845833333333333
dmss13,1,Young,0.139605793387697,4,0.933333333333333
dmss14,1,Young,-0.925531151192022,4,0.8125
dmss15,1,Young,-0.687175496948909,4,0.8875
dmss16,1,Young,0.00311952489118454,4,0.908333333333333
dmss17,1,Young,-0.0360489543376207,4,0.95
dmss19,1,Young,-0.996307115810621,4,0.854166666666667
dmss20,1,Young,-0.225391006557612,4,0.820833333333333
dmss21,1,Young,0.00806933212510225,4,0.8
dmss22,1,Young,0.00578081165667445,4,0.870833333333333
dmss25,1,Young,0.112309519867886,4,0.779166666666667
dmss26,1,Young,-0.407270811746409,4,0.779166666666667
dmss27,1,Young,-0.525548756526698,4,0.870833333333333
dmss29,1,Young,0.388092187957074,4,0.783333333333333
