name,group,groupStr,respVar,ss,beha
dmss01,1,Young,-0.939213262402915,1,0.954166666666667
dmss02,1,Young,-0.453915486851751,1,0.925
dmss03,1,Young,-0.595725643716312,1,0.904166666666667
dmss06,1,Young,-0.226269995668143,1,0.829166666666667
dmss07,1,Young,-0.980145251171876,1,0.8125
dmss08,1,Young,0.522552196830154,1,0.9625
dmss11,1,Young,-0.415066868459962,1,0.95
dmss13,1,Young,-1.19477999251663,1,0.9875
dmss14,1,Young,-0.758856613322725,1,0.929166666666667
dmss15,1,Young,-0.343725514519126,1,0.929166666666667
dmss16,1,Young,-0.19213990511055,1,0.979166666666667
dmss17,1,Young,-0.339057747086158,1,0.9875
dmss19,1,Young,-0.577614378913385,1,0.970833333333333
dmss20,1,Young,0.713609564576005,1,0.841666666666667
dmss21,1,Young,-0.312547750757416,1,0.904166666666667
dmss22,1,Young,-1.47130916532851,1,0.9375
dmss25,1,Young,-0.327526586181106,1,0.8875
dmss26,1,Young,-0.349315469118848,1,0.933333333333333
dmss27,1,Young,-0.678547428569861,1,0.95
dmss29,1,Young,-0.439838321343531,1,0.95
dmss01,1,Young,-0.167215068191856,2,0.920833333333333
dmss02,1,Young,-0.389103042650752,2,0.895833333333333
dmss03,1,Young,-0.948939467737412,2,0.945833333333333
dmss06,1,Young,-0.120220805506491,2,0.8125
dmss07,1,Young,-0.861562887787784,2,0.8125
dmss08,1,Young,1.23898624559573,2,0.925
dmss11,1,Young,-0.0951238658103383,2,0.895833333333333
dmss13,1,Young,-1.42403396123609,2,0.966666666666667
dmss14,1,Young,-0.542653658213579,2,0.875
dmss15,1,Young,-0.242972104158961,2,0.916666666666667
dmss16,1,Young,-0.0670435181490862,2,0.9375
dmss17,1,Young,-0.743788075167471,2,0.925
dmss19,1,Young,-0.00479146829582419,2,0.895833333333333
dmss20,1,Young,0.395499863891373,2,0.75
dmss21,1,Young,-0.544815520395859,2,0.904166666666667
dmss22,1,Young,0.0384600176009544,2,0.916666666666667
dmss25,1,Young,-0.110410766492562,2,0.829166666666667
dmss26,1,Young,-0.653470124244834,2,0.85
dmss27,1,Young,-0.91769266968232,2,0.9
dmss29,1,Young,-0.171850315909886,2,0.85
dmss01,1,Young,-0.479664995066664,4,0.845833333333333
dmss02,1,Young,-0.529486823261848,4,0.783333333333333
dmss03,1,Young,-0.979186492871193,4,0.8875
dmss06,1,Young,-0.435165468873596,4,0.683333333333333
dmss07,1,Young,-0.727824410894645,4,0.758333333333333
dmss08,1,Young,0.845118459143517,4,0.891666666666667
dmss11,1,Young,-0.184893758896791,4,0.845833333333333
dmss13,1,Young,-1.15302226170833,4,0.933333333333333
dmss14,1,Young,-0.731010185564808,4,0.8125
dmss15,1,Young,-0.324633607414463,4,0.8875
dmss16,1,Young,0.236919036958821,4,0.908333333333333
dmss17,1,Young,-0.521038634473604,4,0.95
dmss19,1,Young,-0.290320108071471,4,0.854166666666667
dmss20,1,Young,0.906027533531198,4,0.820833333333333
dmss21,1,Young,-0.0679959887973362,4,0.8
dmss22,1,Young,0.175311512219884,4,0.870833333333333
dmss25,1,Young,-0.272468471966824,4,0.779166666666667
dmss26,1,Young,-1.27305125635118,4,0.779166666666667
dmss27,1,Young,-0.417096855058441,4,0.870833333333333
dmss29,1,Young,0.0807967015278033,4,0.783333333333333
