name,group,groupStr,load1,load2,load3
DMSS030,2,Old,-0.000388444205181496,0.728597568931496,1.39200127191001
DMSS031,2,Old,-0.289195844512393,-1.25965477372828,-1.21644651644985
DMSS032,2,Old,-0.507305690748056,-0.0828089719343202,-0.379094104513584
DMSS036,2,Old,-0.943332916656331,-1.07267865279096,-1.24259079510774
DMSS037,2,Old,-0.185292584724677,-0.208812181931265,-0.230399693777493
DMSS038,2,Old,-1.58329054186598,-1.78152260128049,-1.43654503689028
DMSS039,2,Old,-0.586974009118903,-0.164725640037733,-0.875083564190414
DMSS040,2,Old,-0.293937949597383,-0.832862994406359,-0.460169579897837
DMSS041,2,Old,-0.096045397280084,-1.26103516554813e-05,-0.389076417725833
DMSS046,2,Old,-0.613930189505064,-0.12020276267378,-0.761621097625781
DMSS050,2,Old,0.431632640207421,-0.236586528409426,-0.320893379501715
DMSS051,2,Old,-1.26707268040531,-0.734329977439416,-0.49932185483059
DMSS052,2,Old,-0.486154113771586,-1.05470702498795,-0.318078220030241
DMSS053,2,Old,-0.479953863629311,-0.850252895317777,-1.26592831740907
DMSS054,2,Old,-0.657716431153842,-0.417088504715073,-0.673784555588731
DMSS055,2,Old,0.610321878713547,0.157037897360057,-0.172585204617575
DMSS056,2,Old,-0.397357919881827,-0.59009839858809,-0.562995742785101
DMSS057,2,Old,-1.09999610163146,-0.217658233584573,-0.0459411445284711
DMSS058,2,Old,-0.3175573907817,-0.839703523606422,-0.763849661980407
DMSS059,2,Old,-0.435499653878084,-0.27587681012824,-0.486196434847899
DMSS061,2,Old,-0.517104861439285,0.113252408506244,-0.276598659621238
dmss01,1,Young,-0.934987135077946,-0.793593379353181,-0.970413151955536
dmss02,1,Young,-0.629497722845979,-0.865998910251201,-0.259215652586838
dmss03,1,Young,0.10640645856355,-0.307546794806877,-0.821789034638368
dmss06,1,Young,-0.223098403005061,-0.31673088112715,-0.478011479056189
dmss07,1,Young,-0.275002930669369,-0.193455895855366,-0.502709018315782
dmss08,1,Young,0.490247734983585,0.920052034260616,-0.0659675747597178
dmss11,1,Young,-0.147307017485992,-0.483741698371697,-0.40144378036369
dmss13,1,Young,-0.927744510682136,-0.485536896041027,-0.918183098164543
dmss14,1,Young,-0.339429200080546,-0.345287309294861,-0.495871321217399
dmss15,1,Young,-1.43973014024627,-0.531565878149328,-0.555067270669649
dmss16,1,Young,-0.637268103001103,-0.571509577041522,-0.218558048408292
dmss17,1,Young,-0.947776926955873,-0.694230308780246,-1.07815990371472
dmss19,1,Young,0.444246401792841,-0.186952620422818,-0.45791367674114
dmss20,1,Young,-0.612077075533697,-0.58892817171801,-0.460612738205197
dmss21,1,Young,-0.2791422261087,-0.282852696346778,0.04914088337563
dmss22,1,Young,-0.212284924192268,0.0995878555539132,-0.248121514786454
dmss25,1,Young,-0.541683801085934,-0.359154802268764,-0.316822626206953
dmss26,1,Young,-0.462498579658744,-0.678270450325315,-0.791388502928303
dmss27,1,Young,1.11855712059344,0.090129122196129,0.138810491848304
dmss29,1,Young,0.0336307341387796,-0.14159234856623,0.13259143126099
