name,group,groupStr,corr,wrong
DMSS030,2,Old,0.370817157707261,0.0787722402339398
DMSS031,2,Old,0.383611626074904,-0.170589474503979
DMSS032,2,Old,0.154963830173277,-0.281798774212427
DMSS036,2,Old,0.182366122807599,-0.512361431904965
DMSS037,2,Old,-0.289235533455144,-0.346759585321368
DMSS038,2,Old,0.249995348604867,0.324726814981266
DMSS039,2,Old,0.302332684058407,0.278479067380046
DMSS040,2,Old,0.112017881780999,-0.202506144323972
DMSS041,2,Old,0.0592612480920047,0.079671291656044
DMSS046,2,Old,0.274861113020787,0.381186714073209
DMSS050,2,Old,-0.00758940097925741,-0.169272318889878
DMSS051,2,Old,-0.315628595266018,0.0620020021526755
DMSS052,2,Old,-0.163842821878387,-0.394314550381739
DMSS053,2,Old,0.249021405434367,-0.188038206258464
DMSS054,2,Old,-0.32641095043524,-0.615553073706698
DMSS055,2,Old,0.804774844591517,1.38024539548289
DMSS056,2,Old,-0.533950470721369,-0.66015010820215
DMSS057,2,Old,0.696535910275338,1.13881705136479
DMSS058,2,Old,0.498540131338553,0.332766301016427
DMSS059,2,Old,-0.482551962247992,-0.495193822394072
DMSS061,2,Old,-0.505716957565971,-0.946941744715261
dmss01,1,Young,0.348033064047148,-0.0290970736024339
dmss02,1,Young,0.603899611681253,0.772749547043862
dmss03,1,Young,0.195827172689557,1.04494451245671
dmss06,1,Young,0.210102577375657,0.409950737940828
dmss07,1,Young,0.0581877218216884,0.0277094023697887
dmss08,1,Young,0.315575795851981,-0.391811913120864
dmss11,1,Young,0.485248780504265,0.380898447454553
dmss13,1,Young,0.607443196773916,0.343000746024869
dmss14,1,Young,0.210625139365398,-0.0517996646522179
dmss15,1,Young,0.260584620763236,0.305194159292663
dmss16,1,Young,0.152329438315504,-0.428038221434745
dmss17,1,Young,-0.131007759789117,-0.657532815628555
dmss19,1,Young,-0.17894594152374,0.333525246855685
dmss20,1,Young,0.560788580771708,0.126343985217899
dmss21,1,Young,0.725128593152498,0.607720471219516
dmss22,1,Young,0.536364219362234,0.546154442848672
dmss25,1,Young,-0.205096841092579,-0.122319151078414
dmss26,1,Young,0.703354428741983,0.55609297646019
dmss27,1,Young,-0.0889199132682151,0.718595257417179
dmss29,1,Young,0.259772410600505,0.171815579162882
