name,group,groupStr,delayVar,ss,beha
DMSS030,2,Old,0.177927251907393,1,0.933333333333333
DMSS031,2,Old,-0.867496501842976,1,0.920833333333333
DMSS032,2,Old,-0.100479728443807,1,0.956521739130435
DMSS036,2,Old,-0.201331210478625,1,0.941666666666667
DMSS037,2,Old,-0.277713888194604,1,0.930612244897959
DMSS038,2,Old,-0.142081408093259,1,0.908333333333333
DMSS039,2,Old,-0.238394061709937,1,0.983333333333333
DMSS040,2,Old,0.0126169231584363,1,0.929166666666667
DMSS041,2,Old,-0.396080710470783,1,0.770833333333333
DMSS046,2,Old,-0.199788747924502,1,0.895833333333333
DMSS050,2,Old,-0.383019099402921,1,0.9625
DMSS051,2,Old,-0.0746570738329807,1,0.941666666666667
DMSS052,2,Old,-0.0188473488342082,1,0.945833333333333
DMSS053,2,Old,-0.361467813916701,1,0.991666666666667
DMSS054,2,Old,-0.61648001846895,1,0.933333333333333
DMSS055,2,Old,-0.57597917674066,1,0.9625
DMSS056,2,Old,-0.593891562103143,1,0.9125
DMSS057,2,Old,-0.132147740259722,1,0.933333333333333
DMSS058,2,Old,-0.369193979779386,1,0.879166666666667
DMSS059,2,Old,0.0355423011781364,1,0.8125
DMSS061,2,Old,-0.373508864952804,1,0.745192307692308
DMSS030,2,Old,0.262392338945108,2,0.770833333333333
DMSS031,2,Old,-0.5068123155163,2,0.845833333333333
DMSS032,2,Old,-0.849483504583463,2,0.875
DMSS036,2,Old,-0.0817482259628825,2,0.8625
DMSS037,2,Old,-0.197938720445799,2,0.814516129032258
DMSS038,2,Old,0.145396521406639,2,0.854166666666667
DMSS039,2,Old,-0.150167521846272,2,0.9
DMSS040,2,Old,-0.171726021726552,2,0.8125
DMSS041,2,Old,-0.437435142449885,2,0.729166666666667
DMSS046,2,Old,-0.219506391430549,2,0.816666666666667
DMSS050,2,Old,-0.299438918460569,2,0.875
DMSS051,2,Old,-0.391575655785869,2,0.808333333333333
DMSS052,2,Old,0.26002429855249,2,0.8875
DMSS053,2,Old,-0.118937337361634,2,0.933333333333333
DMSS054,2,Old,-0.520356285936175,2,0.916666666666667
DMSS055,2,Old,-0.577613340921928,2,0.883333333333333
DMSS056,2,Old,-0.261237563059323,2,0.845833333333333
DMSS057,2,Old,-0.0825342966526654,2,0.8875
DMSS058,2,Old,-0.274307370770065,2,0.866666666666667
DMSS059,2,Old,0.0104979198697428,2,0.80625
DMSS061,2,Old,-0.411603372502868,2,0.701923076923077
DMSS030,2,Old,0.179348965114822,4,0.766666666666667
DMSS031,2,Old,-0.973386381960481,4,0.833333333333333
DMSS032,2,Old,-0.329454196560473,4,0.820652173913043
DMSS036,2,Old,-0.165234349717803,4,0.791666666666667
DMSS037,2,Old,-0.825574094159201,4,0.730612244897959
DMSS038,2,Old,-0.485949243840467,4,0.725
DMSS039,2,Old,-0.105475306246685,4,0.816666666666667
DMSS040,2,Old,-0.1971081632192,4,0.679166666666667
DMSS041,2,Old,-0.420361993010856,4,0.6625
DMSS046,2,Old,-0.0366981335061075,4,0.741666666666667
DMSS050,2,Old,-0.261893605594294,4,0.795833333333333
DMSS051,2,Old,-0.28281422034908,4,0.7375
DMSS052,2,Old,-0.137770650610104,4,0.7625
DMSS053,2,Old,-0.417412599021674,4,0.870833333333333
DMSS054,2,Old,-0.330304928562148,4,0.883333333333333
DMSS055,2,Old,-0.767627840226981,4,0.820833333333333
DMSS056,2,Old,-0.408703578760145,4,0.8
DMSS057,2,Old,-0.00404225272283123,4,0.804166666666667
DMSS058,2,Old,-0.540232292919064,4,0.779166666666667
DMSS059,2,Old,-0.0811238641466735,4,0.75625
DMSS061,2,Old,-0.137244919983508,4,0.639423076923077
