name,group,groupStr,load1,load2,load3
DMSS030,2,Old,0.195775445780212,-0.174425901418686,0.20258402149037
DMSS031,2,Old,0.134972660458373,0.249354882283436,0.012997616974633
DMSS032,2,Old,0.159629598756656,0.216950679116591,-0.10030749324519
DMSS036,2,Old,0.0527772708339787,0.216704639885359,0.197874544171388
DMSS037,2,Old,-0.0543805017261739,-0.0154132987595615,-0.0985279461009727
DMSS038,2,Old,0.159527796107487,0.251688129614495,0.141390310259121
DMSS039,2,Old,0.158122580624865,0.0899112569090753,0.107154778795431
DMSS040,2,Old,0.0839453539724205,0.123923223942446,0.118016238405953
DMSS041,2,Old,-0.0919936380942651,0.0671838981140064,0.0395602700103004
DMSS046,2,Old,0.198620680952532,0.180757789078794,0.1256346300109
DMSS050,2,Old,-0.262826011489562,-0.20578123477459,-0.125946537730978
DMSS051,2,Old,-0.122767952782038,-0.192605570579563,-0.613554043175268
DMSS052,2,Old,0.0390887950835135,0.0450888883842405,0.0075005975273154
DMSS053,2,Old,0.358102786414507,0.471882047316316,0.377126315673554
DMSS054,2,Old,0.332547593475028,0.354230758109763,0.236956038511376
DMSS055,2,Old,0.241015007662668,0.415728526520985,0.00286985409451953
DMSS056,2,Old,-0.143585850575337,0.252546360487056,0.0555796603447738
DMSS057,2,Old,0.197177835462018,0.223458823483752,0.115172106516129
DMSS058,2,Old,-0.0537292297727551,0.134968162830186,0.127921754885303
DMSS059,2,Old,-0.297597401034086,-0.210596566587542,0.103616477539148
DMSS061,2,Old,-0.23861531027523,-0.0154006762586575,-0.0720160227088019
dmss01,1,Young,-0.181888129551941,-0.393855671124199,-0.189880975897114
dmss02,1,Young,0.121977145791504,0.401170442343719,0.376759385674933
dmss03,1,Young,0.925156346551304,-0.113762478693644,0.70639055439153
dmss06,1,Young,0.123352444412766,0.109762862172087,0.0615297193117694
dmss07,1,Young,0.120269151632774,-0.101160340205549,-0.0639306814561771
dmss08,1,Young,0.397545513885487,0.481950995745956,0.361235981570308
dmss11,1,Young,0.252951467770701,0.260455288882788,0.204366254763704
dmss13,1,Young,0.0263600674009755,0.323352952226154,0.3844343817424
dmss14,1,Young,0.189193549965866,0.219002454375151,0.293984757444582
dmss15,1,Young,0.101058980816974,0.0793763149699954,0.219629926487187
dmss16,1,Young,0.0700296766144045,0.172304288623951,0.1339772561104
dmss17,1,Young,-0.0813391215882101,-0.162412216492064,-0.281968838372361
dmss19,1,Young,0.236527544575491,0.311083157861497,0.326862197330719
dmss20,1,Young,0.162210170003022,0.343849466403505,0.178144117754455
dmss21,1,Young,0.261159620768179,0.369497927430188,0.256922573364816
dmss22,1,Young,0.190033953432102,0.313673761907163,0.12242548597995
dmss25,1,Young,0.216244693514116,-0.123751904531774,-0.0351497351937047
dmss26,1,Young,0.350533225877119,0.478258423613213,0.432150044178746
dmss27,1,Young,-0.08616762182116,0.0378676768845124,-0.124289304139629
dmss29,1,Young,0.219403497269656,0.182111890294633,0.286204697370498
