name,group,groupStr,respVar,ss,beha
DMSS030,2,Old,0.34344813602077,1,0.933333333333333
DMSS031,2,Old,0.46730796436798,1,0.920833333333333
DMSS032,2,Old,0.924197706627681,1,0.956521739130435
DMSS036,2,Old,0.95174517946928,1,0.941666666666667
DMSS037,2,Old,0.452114852364771,1,0.930612244897959
DMSS038,2,Old,0.396337145141911,1,0.908333333333333
DMSS039,2,Old,1.15530459960078,1,0.983333333333333
DMSS040,2,Old,-0.00932431983912976,1,0.929166666666667
DMSS041,2,Old,1.04641890339989,1,0.770833333333333
DMSS046,2,Old,1.02180483156204,1,0.895833333333333
DMSS050,2,Old,0.0469699337858798,1,0.9625
DMSS051,2,Old,0.354162467999297,1,0.941666666666667
DMSS052,2,Old,1.08746056098397,1,0.945833333333333
DMSS053,2,Old,2.22035332891349,1,0.991666666666667
DMSS054,2,Old,2.25257517816292,1,0.933333333333333
DMSS055,2,Old,1.19887989478544,1,0.9625
DMSS056,2,Old,1.07841397353803,1,0.9125
DMSS057,2,Old,1.08624764423304,1,0.933333333333333
DMSS058,2,Old,1.01851120523306,1,0.879166666666667
DMSS059,2,Old,0.0376224559289892,1,0.8125
DMSS061,2,Old,-0.282579827978013,1,0.745192307692308
DMSS030,2,Old,0.309788819383034,2,0.770833333333333
DMSS031,2,Old,0.659031313361366,2,0.845833333333333
DMSS032,2,Old,0.764764817575441,2,0.875
DMSS036,2,Old,0.812046057792626,2,0.8625
DMSS037,2,Old,0.334266608409056,2,0.814516129032258
DMSS038,2,Old,0.397600477661154,2,0.854166666666667
DMSS039,2,Old,1.27558702297034,2,0.9
DMSS040,2,Old,0.0411835499473391,2,0.8125
DMSS041,2,Old,1.05586791939471,2,0.729166666666667
DMSS046,2,Old,0.815821284214007,2,0.816666666666667
DMSS050,2,Old,0.0842170279129857,2,0.875
DMSS051,2,Old,0.419878140034944,2,0.808333333333333
DMSS052,2,Old,0.890015076445149,2,0.8875
DMSS053,2,Old,2.16103050744933,2,0.933333333333333
DMSS054,2,Old,2.11456157396027,2,0.916666666666667
DMSS055,2,Old,0.945164510227753,2,0.883333333333333
DMSS056,2,Old,1.28669577506141,2,0.845833333333333
DMSS057,2,Old,1.1280488352199,2,0.8875
DMSS058,2,Old,1.24434011325137,2,0.866666666666667
DMSS059,2,Old,0.158483359370028,2,0.80625
DMSS061,2,Old,-0.250601893900463,2,0.701923076923077
DMSS030,2,Old,0.0621745660404454,4,0.766666666666667
DMSS031,2,Old,0.533165580688136,4,0.833333333333333
DMSS032,2,Old,0.462975680201456,4,0.820652173913043
DMSS036,2,Old,0.678778421082127,4,0.791666666666667
DMSS037,2,Old,0.448528463965811,4,0.730612244897959
DMSS038,2,Old,0.450276589331812,4,0.725
DMSS039,2,Old,1.25314783636357,4,0.816666666666667
DMSS040,2,Old,0.20426754023409,4,0.679166666666667
DMSS041,2,Old,0.679010702150376,4,0.6625
DMSS046,2,Old,0.879027227450324,4,0.741666666666667
DMSS050,2,Old,0.0828106564414177,4,0.795833333333333
DMSS051,2,Old,-0.168763531441663,4,0.7375
DMSS052,2,Old,0.777261099328947,4,0.7625
DMSS053,2,Old,2.42121280350525,4,0.870833333333333
DMSS054,2,Old,1.86968670836372,4,0.883333333333333
DMSS055,2,Old,1.01298962026361,4,0.820833333333333
DMSS056,2,Old,0.955037842295107,4,0.8
DMSS057,2,Old,0.902388427433157,4,0.804166666666667
DMSS058,2,Old,1.38869959296714,4,0.779166666666667
DMSS059,2,Old,0.218130793304009,4,0.75625
DMSS061,2,Old,-0.214569710569137,4,0.639423076923077
