name,csvFile,rawEEG,group,groupStr,exclude,cleanTrial,oriN,cleanRatio,s1_acc,s2_acc,s3_acc,s1_rt,s2_rt,s3_rt,avg_acc,avg_rt
DMSS030,DMSS030_dms_ss_vv_v8_2021_Oct_06_1043.csv,1,2,Old,0,520,720,0.722222222222222,0.933333333333333,0.770833333333333,0.766666666666667,0.85461399716356,1.04013301875966,1.22927974852766,0.823611111111111,1.04134225481696
DMSS031,DMSS031_dms_ss_vv_v8_2_2021_Nov_05_1348.csv,1,2,Old,0,572,720,0.794444444444444,0.920833333333333,0.845833333333333,0.833333333333333,0.602290797696319,0.744020673135048,0.809102698958516,0.866666666666667,0.718471389929961
DMSS032,DMSS032_dms_ss_vv_v8_2_2021.csv,1,2,Old,0,390,552,0.706521739130435,0.956521739130435,0.875,0.820652173913043,0.422372781065089,0.515203821656051,0.595368243243243,0.884057971014493,0.510981615321461
DMSS036,DMSS036_dms_ss_vv_v8_2_2021_Nov_04_1130.csv,1,2,Old,0,561,719,0.780250347705146,0.941666666666667,0.8625,0.791666666666667,0.710878548868931,0.80926896666653,0.897453839999839,0.865277777777778,0.805867118511766
DMSS037,DMSS037_dms_ss_vv_v8_2021_Dec_15_1231.csv,1,2,Old,0,557,738,0.754742547425474,0.930612244897959,0.814516129032258,0.730612244897959,0.974690316143498,1.0773764388601,1.17625872366864,0.825246872942725,1.07610849289075
DMSS038,DMSS038_dms_ss_vv_v8_2_2021_Dec_16_1221.csv,1,2,Old,0,576,720,0.8,0.908333333333333,0.854166666666667,0.725,0.5753652369152,0.671696901996911,0.706102481180021,0.829166666666667,0.651054873364044
DMSS039,DMSS039_dms_ss_vv_v8_2021_Dec_14_1232.csv,1,2,Old,0,603,720,0.8375,0.983333333333333,0.9,0.816666666666667,0.526394003417898,0.618579358292271,0.644137390206638,0.9,0.596370250638936
DMSS040,DMSS040_dms_ss_vv_v8_2022_Mar_08_1430.csv,1,2,Old,0,638,720,0.886111111111111,0.929166666666667,0.8125,0.679166666666667,0.729764606767663,0.876989542492159,0.900416263041033,0.806944444444444,0.835723470766951
DMSS041,DMSS041_dms_ss_vv_v8_2022_Feb_02_1224.csv,1,2,Old,0,623,720,0.865277777777778,0.770833333333333,0.729166666666667,0.6625,1.12472438610918,1.19004136945461,1.20493980195047,0.720833333333333,1.17323518583809
DMSS046,DMSS046_dms_ss_vv_v8_2_2022_Jan_27_1410.csv,1,2,Old,0,570,720,0.791666666666667,0.895833333333333,0.816666666666667,0.741666666666667,0.873274718630402,1.04195370213353,1.10081150652235,0.818055555555556,1.00534664242876
DMSS050,DMSS050_dms_ss_vv_v8_2_2022_Oct_10_0958.csv,1,2,Old,0,612,720,0.85,0.9625,0.875,0.795833333333333,0.570087857894737,0.712341947368421,0.766470916847826,0.877777777777778,0.682966907370328
DMSS051,DMSS051_dms_ss_vv_v8_2_2022_Oct_28_1036.csv,1,2,Old,0,466,720,0.647222222222222,0.941666666666667,0.808333333333333,0.7375,0.689862371300448,0.958606486458333,1.04633775780347,0.829166666666667,0.898268871854083
DMSS052,DMSS052_dms_ss_vv_v8_2_2022_Nov_11_1034.csv,1,2,Old,0,563,720,0.781944444444444,0.945833333333333,0.8875,0.7625,0.682389594642857,0.906791877884615,1.0093377511236,0.865277777777778,0.866173074550356
DMSS053,DMSS053_dms_ss_vv_v8_2_2022_Dec_05_0939.csv,1,2,Old,0,628,720,0.872222222222222,0.991666666666667,0.933333333333333,0.870833333333333,0.596138444491525,0.792167266818182,0.865188481951219,0.931944444444444,0.751164731086976
DMSS054,DMSS054_dms_ss_vv_v8_2_2022_Dec_06_0939.csv,1,2,Old,0,655,720,0.909722222222222,0.933333333333333,0.916666666666667,0.883333333333333,0.59787027623343,0.670224801851806,0.789599997561252,0.911111111111111,0.685898358548829
DMSS055,DMSS055_dms_ss_vv_v8_2_2022_Dec_06_1418.csv,1,2,Old,0,619,720,0.859722222222222,0.9625,0.883333333333333,0.820833333333333,0.85252277105291,0.944368936231693,1.0655893117344,0.888888888888889,0.954160339673
DMSS056,DMSS056_dms_ss_vv_v8_2_2022_Dec_07_1437.csv,1,2,Old,0,652,720,0.905555555555556,0.9125,0.845833333333333,0.8,0.714761282026973,0.863263883164963,1.00316884946834,0.852777777777778,0.860398004886757
DMSS057,DMSS057_dms_ss_vv_v8_2_2022_Dec_09_1007.csv,1,2,Old,0,617,720,0.856944444444444,0.933333333333333,0.8875,0.804166666666667,0.847900146478873,0.957367731707317,0.991308679120879,0.875,0.932192185769023
DMSS058,DMSS058_dms_ss_vv_v8_2_2022_Dec_09_1009.csv,1,2,Old,0,610,720,0.847222222222222,0.879166666666667,0.866666666666667,0.779166666666667,0.65054290199005,0.761715643842365,0.924537232967033,0.841666666666667,0.778931926266483
DMSS059,DMSS059_dms_ss_vv_v8_2_2022_Dec_16_1043.csv,1,2,Old,0,454,480,0.945833333333333,0.8125,0.80625,0.75625,2.03843734252779,1.80457459820009,1.67813322982284,0.791666666666667,1.84038172351691
DMSS061,DMSS061_dms_ss_vv_v8_2_2022_Dec_21.csv,1,2,Old,0,465,624,0.745192307692308,0.745192307692308,0.701923076923077,0.639423076923077,1.03994370860927,0.872538461538462,0.898813953488372,0.695512820512821,0.937098707878702
dmss01,dmss01_dms_ss_vv_v8_2020_Feb_11_1112.csv,1,1,Young,0,680,715,0.951048951048951,0.954166666666667,0.920833333333333,0.845833333333333,0.682816952401894,0.871592421659745,0.968128206060183,0.906944444444444,0.840845860040607
