name,group,groupStr,delayVar,ss,beha
DMSS030,2,Old,0.211580479315839,1,0.933333333333333
DMSS031,2,Old,-0.0488391742673336,1,0.920833333333333
DMSS032,2,Old,-0.477143811375923,1,0.956521739130435
DMSS036,2,Old,-0.438714792813312,1,0.941666666666667
DMSS037,2,Old,-0.884892377118158,1,0.930612244897959
DMSS038,2,Old,-0.055624647411514,1,0.908333333333333
DMSS039,2,Old,-0.27633135674129,1,0.983333333333333
DMSS040,2,Old,0.0454804088897972,1,0.929166666666667
DMSS041,2,Old,-1.10583708444346,1,0.770833333333333
DMSS046,2,Old,-0.953021582644436,1,0.895833333333333
DMSS050,2,Old,-0.185545294503151,1,0.9625
DMSS051,2,Old,0.16445510412984,1,0.941666666666667
DMSS052,2,Old,0.185314520643621,1,0.945833333333333
DMSS053,2,Old,-0.075491791914726,1,0.991666666666667
DMSS054,2,Old,-0.397230375679545,1,0.933333333333333
DMSS055,2,Old,-0.589338778587632,1,0.9625
DMSS056,2,Old,0.62908750238497,1,0.9125
DMSS057,2,Old,-0.119307992229704,1,0.933333333333333
DMSS058,2,Old,-0.424004010475084,1,0.879166666666667
DMSS059,2,Old,-0.328638764233253,1,0.8125
DMSS061,2,Old,0.0738498938067656,1,0.745192307692308
DMSS030,2,Old,0.320010253525034,2,0.770833333333333
DMSS031,2,Old,-0.0036985002324778,2,0.845833333333333
DMSS032,2,Old,-0.348876833609515,2,0.875
DMSS036,2,Old,-0.468454850056273,2,0.8625
DMSS037,2,Old,-0.896036525420199,2,0.814516129032258
DMSS038,2,Old,-0.140723007873954,2,0.854166666666667
DMSS039,2,Old,-0.154199774776243,2,0.9
DMSS040,2,Old,-0.0598732565704169,2,0.8125
DMSS041,2,Old,-1.31654320841074,2,0.729166666666667
DMSS046,2,Old,-0.903976140557744,2,0.816666666666667
DMSS050,2,Old,0.119207220434208,2,0.875
DMSS051,2,Old,-0.596463054475062,2,0.808333333333333
DMSS052,2,Old,0.0080148689121411,2,0.8875
DMSS053,2,Old,-0.312521081683874,2,0.933333333333333
DMSS054,2,Old,-0.858757496823787,2,0.916666666666667
DMSS055,2,Old,-0.249956630228711,2,0.883333333333333
DMSS056,2,Old,-0.855709540864745,2,0.845833333333333
DMSS057,2,Old,-0.0807414091742977,2,0.8875
DMSS058,2,Old,-0.315987527882935,2,0.866666666666667
DMSS059,2,Old,-0.503324998663326,2,0.80625
DMSS061,2,Old,-2.05050475562482,2,0.701923076923077
DMSS030,2,Old,0.522930154942178,4,0.766666666666667
DMSS031,2,Old,-1.25768414474224,4,0.833333333333333
DMSS032,2,Old,-0.298088847997071,4,0.820652173913043
DMSS036,2,Old,0.0296135780235628,4,0.791666666666667
DMSS037,2,Old,-1.20755427991873,4,0.730612244897959
DMSS038,2,Old,0.11066555468469,4,0.725
DMSS039,2,Old,-0.21307542184266,4,0.816666666666667
DMSS040,2,Old,-0.0900125076718572,4,0.679166666666667
DMSS041,2,Old,-1.41198465600698,4,0.6625
DMSS046,2,Old,-0.84890293825882,4,0.741666666666667
DMSS050,2,Old,-0.145750160116256,4,0.795833333333333
DMSS051,2,Old,-0.741257172042363,4,0.7375
DMSS052,2,Old,0.141955067686331,4,0.7625
DMSS053,2,Old,-0.311536794845472,4,0.870833333333333
DMSS054,2,Old,-0.388514655283938,4,0.883333333333333
DMSS055,2,Old,-0.649096691075235,4,0.820833333333333
DMSS056,2,Old,-1.96880429218189,4,0.8
DMSS057,2,Old,0.139308023834669,4,0.804166666666667
DMSS058,2,Old,-0.285556605518167,4,0.779166666666667
DMSS059,2,Old,-0.368664181276912,4,0.75625
DMSS061,2,Old,-0.270457440542672,4,0.639423076923077
