name,group,groupStr,corr,wrong
DMSS030,2,Old,0.107846231612563,-0.0674914330119793
DMSS031,2,Old,0.312371825874366,-0.0725756184170179
DMSS032,2,Old,0.26344451372462,0.154329800625302
DMSS036,2,Old,0.542955686417965,0.137013801652988
DMSS037,2,Old,0.198694152274695,0.34053367159199
DMSS038,2,Old,0.24981929218881,0.368746360488554
DMSS039,2,Old,0.819251134165777,0.713923254094249
DMSS040,2,Old,0.0553950154670646,-0.154989036381199
DMSS041,2,Old,0.442031643939593,0.255299023227662
DMSS046,2,Old,0.546092169776561,-0.0291627739254721
DMSS050,2,Old,0.0314836023272852,-0.0982062433250886
DMSS051,2,Old,-0.535109713005897,0.161404098008397
DMSS052,2,Old,0.470170835501408,0.469889087464271
DMSS053,2,Old,1.70532770385728,1.1722532682442
DMSS054,2,Old,1.68953469211964,1.67752301845754
DMSS055,2,Old,0.837363681520941,0.756228004012144
DMSS056,2,Old,0.835994864730631,0.77734116096185
DMSS057,2,Old,0.671799402032177,0.784016693975178
DMSS058,2,Old,0.836184407735685,0.860631113576092
DMSS059,2,Old,0.0933721468848499,0.0678541425464463
DMSS061,2,Old,-0.0736824810734879,-0.19982374355254
dmss01,1,Young,0.885225322828461,0.677952717471839
dmss02,1,Young,0.638153715425826,0.860939060966901
dmss03,1,Young,0.243882286130787,0.80076722075364
dmss06,1,Young,0.582076744916622,0.342168044165814
dmss07,1,Young,0.164377397492188,0.300707498291979
dmss08,1,Young,0.796102223492785,0.1665312992153
dmss11,1,Young,0.573461568829377,0.63524052850524
dmss13,1,Young,0.500997000722659,0.236092731296946
dmss14,1,Young,0.520953502922217,0.655780514632766
dmss15,1,Young,0.236410019412927,-0.270451638363973
dmss16,1,Young,0.169772863871288,0.516033357998787
dmss17,1,Young,0.314348192879644,-0.182974762652611
dmss19,1,Young,0.0562155751414056,0.157302528815916
dmss20,1,Young,1.11227386324215,0.525889505659974
dmss21,1,Young,0.62997714392421,0.635036530845189
dmss22,1,Young,0.170657826812693,-0.232400194131835
dmss25,1,Young,-0.0165451692715848,0.102531766244488
dmss26,1,Young,0.739354303051133,0.393537625601756
dmss27,1,Young,0.157693033219842,0.0329348319260624
dmss29,1,Young,0.738015789551348,0.751701034257465
