name,group,groupStr,respVar,ss,beha
DMSS030,2,Old,0.262075761236464,1,0.933333333333333
DMSS031,2,Old,0.270609065302758,1,0.920833333333333
DMSS032,2,Old,0.711001262636783,1,0.956521739130435
DMSS036,2,Old,0.870036008894561,1,0.941666666666667
DMSS037,2,Old,0.289548862357573,1,0.930612244897959
DMSS038,2,Old,0.251966476063442,1,0.908333333333333
DMSS039,2,Old,1.03149763504814,1,0.983333333333333
DMSS040,2,Old,-0.121218620057753,1,0.929166666666667
DMSS041,2,Old,0.656803521601654,1,0.770833333333333
DMSS046,2,Old,0.772811828354632,1,0.895833333333333
DMSS050,2,Old,0.0235175701151318,1,0.9625
DMSS051,2,Old,0.294391516563892,1,0.941666666666667
DMSS052,2,Old,0.920083594679023,1,0.945833333333333
DMSS053,2,Old,1.88731022540705,1,0.991666666666667
DMSS054,2,Old,1.99149114108566,1,0.933333333333333
DMSS055,2,Old,1.00525319198959,1,0.9625
DMSS056,2,Old,0.972273137479094,1,0.9125
DMSS057,2,Old,0.797262735355374,1,0.933333333333333
DMSS058,2,Old,0.494953379753268,1,0.879166666666667
DMSS059,2,Old,-0.0404566783650236,1,0.8125
DMSS061,2,Old,-0.269183695310071,1,0.745192307692308
DMSS030,2,Old,0.351920482849306,2,0.770833333333333
DMSS031,2,Old,0.540103909896783,2,0.845833333333333
DMSS032,2,Old,0.471286017941935,2,0.875
DMSS036,2,Old,0.758138919167792,2,0.8625
DMSS037,2,Old,0.177874634703992,2,0.814516129032258
DMSS038,2,Old,0.242594162060331,2,0.854166666666667
DMSS039,2,Old,1.09555387265613,2,0.9
DMSS040,2,Old,-0.0335104265094942,2,0.8125
DMSS041,2,Old,0.694593673015275,2,0.729166666666667
DMSS046,2,Old,0.576788051848453,2,0.816666666666667
DMSS050,2,Old,0.0410035523680107,2,0.875
DMSS051,2,Old,0.211517587930867,2,0.808333333333333
DMSS052,2,Old,0.773239115087405,2,0.8875
DMSS053,2,Old,1.86184100775853,2,0.933333333333333
DMSS054,2,Old,1.89702645144651,2,0.916666666666667
DMSS055,2,Old,0.788901674824974,2,0.883333333333333
DMSS056,2,Old,1.13240360086068,2,0.845833333333333
DMSS057,2,Old,0.952033252073494,2,0.8875
DMSS058,2,Old,0.727591832915824,2,0.866666666666667
DMSS059,2,Old,0.0503463676480355,2,0.80625
DMSS061,2,Old,-0.292328740346351,2,0.701923076923077
DMSS030,2,Old,0.0395895607874095,4,0.766666666666667
DMSS031,2,Old,0.309050749093296,4,0.833333333333333
DMSS032,2,Old,0.298189742167924,4,0.820652173913043
DMSS036,2,Old,0.676050251199248,4,0.791666666666667
DMSS037,2,Old,0.331024997830976,4,0.730612244897959
DMSS038,2,Old,0.299884786878167,4,0.725
DMSS039,2,Old,1.11106433406971,4,0.816666666666667
DMSS040,2,Old,0.0985337998252719,4,0.679166666666667
DMSS041,2,Old,0.325858424368901,4,0.6625
DMSS046,2,Old,0.669827125621991,4,0.741666666666667
DMSS050,2,Old,0.0835436285270477,4,0.795833333333333
DMSS051,2,Old,-0.273151730801492,4,0.7375
DMSS052,2,Old,0.559146920762914,4,0.7625
DMSS053,2,Old,2.08087479753359,4,0.870833333333333
DMSS054,2,Old,1.62088129919313,4,0.883333333333333
DMSS055,2,Old,0.795226023087993,4,0.820833333333333
DMSS056,2,Old,0.857267651728757,4,0.8
DMSS057,2,Old,0.645920580167231,4,0.804166666666667
DMSS058,2,Old,0.923481419626178,4,0.779166666666667
DMSS059,2,Old,0.0547296215428827,4,0.75625
DMSS061,2,Old,-0.208410349566533,4,0.639423076923077
