name,group,groupStr,corr,wrong
DMSS030,2,Old,-0.284685870689835,-0.87284941998794
DMSS031,2,Old,0.461529222241209,0.813972119969342
DMSS032,2,Old,0.432251505678635,0.389069656288984
DMSS036,2,Old,0.571064786665789,0.521553670744033
DMSS037,2,Old,0.633725670241739,0.790212770392628
DMSS038,2,Old,0.199211453081761,0.284573324293576
DMSS039,2,Old,0.253263026494192,0.00651118983937165
DMSS040,2,Old,0.17806344170929,0.356363034562423
DMSS041,2,Old,0.0371387314705421,0.0735267883034611
DMSS046,2,Old,0.85340708825924,-0.402538177319767
DMSS050,2,Old,-0.0214646457344283,0.118832822368917
DMSS051,2,Old,-0.732594228596009,-0.501124987920289
DMSS052,2,Old,0.314367380328079,0.318176911927519
DMSS053,2,Old,0.705824846661245,0.416282253910746
DMSS054,2,Old,2.38017407515703,2.65411273753132
DMSS055,2,Old,0.230673479563758,-0.270458073797239
DMSS056,2,Old,0.601345782283203,0.721212156144933
DMSS057,2,Old,0.228413815180234,-0.183305213186316
DMSS058,2,Old,0.17857783168198,0.0691858909454906
DMSS059,2,Old,-0.115832146421965,-0.10106102933088
DMSS061,2,Old,-0.0268654917809551,-0.338599275649814
dmss01,1,Young,0.483745483733467,0.356679577603712
dmss02,1,Young,0.338716607188695,0.241837848888425
dmss03,1,Young,0.00434629975783527,0.29445162644226
dmss06,1,Young,0.60547995874907,0.656071201874176
dmss07,1,Young,0.237049644419355,0.293763363882394
dmss08,1,Young,0.676757963602906,0.62853783478345
dmss11,1,Young,0.20869249165758,0.185106842751823
dmss13,1,Young,0.226683896239333,-0.207958996060077
dmss14,1,Young,0.801624585154556,1.05884089783446
dmss15,1,Young,0.11041327536844,-0.142743181172407
dmss16,1,Young,-0.0214855073446722,-0.2039206215065
dmss17,1,Young,0.0190847057797747,0.409000958304241
dmss19,1,Young,0.310248430994704,-0.210971665080483
dmss20,1,Young,0.91957932426745,0.620041601203075
dmss21,1,Young,-0.0202250447347458,0.33776961341816
dmss22,1,Young,0.188994663370523,-0.0947581287765529
dmss25,1,Young,0.112896942469962,-0.267977467034112
dmss26,1,Young,0.0258861779196062,-0.944123666039897
dmss27,1,Young,-0.0290647335608781,0.00845240406429673
dmss29,1,Young,0.136763387686996,0.0658499793440176
