name,group,groupStr,corr,wrong
DMSS030,2,Old,0.0479234152750339,-0.254906716745539
DMSS031,2,Old,0.280211381383486,-0.196300740160505
DMSS032,2,Old,0.218663192003095,0.358899057270802
DMSS036,2,Old,0.616117452254943,0.122554081558932
DMSS037,2,Old,0.290068621721245,0.460663172795838
DMSS038,2,Old,0.241332331409553,0.480943394254342
DMSS039,2,Old,0.994364715007263,0.789335381730863
DMSS040,2,Old,0.0339627929863977,-0.0659509147221112
DMSS041,2,Old,0.397691662846617,0.245059131619409
DMSS046,2,Old,0.578100915933901,0.111729678910023
DMSS050,2,Old,0.0238583101200046,-0.0696355817517554
DMSS051,2,Old,-0.417084754855956,0.191436700093799
DMSS052,2,Old,0.444600614762647,0.432759256294619
DMSS053,2,Old,1.96332359063651,1.3952346310453
DMSS054,2,Old,1.55620386261051,1.46084535943796
DMSS055,2,Old,0.846499791987346,0.541510907249415
DMSS056,2,Old,0.691109456585169,0.609667285852272
DMSS057,2,Old,0.58594357678267,0.71490906004828
DMSS058,2,Old,0.872328510673081,0.961947411859528
DMSS059,2,Old,0.0267183355673513,0.0453262202132424
DMSS061,2,Old,-0.167123549812744,-0.415495148829515
dmss01,1,Young,1.01728522322871,0.860557205656933
dmss02,1,Young,0.595464037850347,0.85194688229848
dmss03,1,Young,0.158182914701261,0.846817265104509
dmss06,1,Young,0.583811336099168,0.368598688952103
dmss07,1,Young,0.215253454384133,0.379706519045529
dmss08,1,Young,0.833897336078545,0.222816142010129
dmss11,1,Young,0.53735491945403,0.613146190199322
dmss13,1,Young,0.568929553445013,0.280291696792971
dmss14,1,Young,0.560880652605426,0.711983283395544
dmss15,1,Young,0.276082103856111,-0.203188352761424
dmss16,1,Young,0.108616745299811,0.549643792700236
dmss17,1,Young,0.375588129057368,-0.272370212760015
dmss19,1,Young,0.106833921642563,0.0500563578244789
dmss20,1,Young,1.17404456185664,0.540584118861142
dmss21,1,Young,0.564182328485862,0.52732380872053
dmss22,1,Young,0.137098511375901,-0.286828283395415
dmss25,1,Young,0.0504310443866431,0.143387083746264
dmss26,1,Young,0.833294756993671,0.325841840502247
dmss27,1,Young,0.193225065641844,0.1031479522286
dmss29,1,Young,0.624819366359178,0.544295190465285
