name,group,groupStr,delayVar,ss,beha
DMSS030,2,Old,0.0297931907621666,1,0.933333333333333
DMSS031,2,Old,-0.494669801503366,1,0.920833333333333
DMSS032,2,Old,-0.868817437023486,1,0.956521739130435
DMSS036,2,Old,0.0887787897709148,1,0.941666666666667
DMSS037,2,Old,0.276627250112552,1,0.930612244897959
DMSS038,2,Old,-0.364812041678656,1,0.908333333333333
DMSS039,2,Old,-0.0934158196281711,1,0.983333333333333
DMSS040,2,Old,0.0814217232460978,1,0.929166666666667
DMSS041,2,Old,-0.48917841797293,1,0.770833333333333
DMSS046,2,Old,0.494086168121052,1,0.895833333333333
DMSS050,2,Old,-0.000425133727503429,1,0.9625
DMSS051,2,Old,0.228625353743471,1,0.941666666666667
DMSS052,2,Old,0.361598844020779,1,0.945833333333333
DMSS053,2,Old,0.649657562936552,1,0.991666666666667
DMSS054,2,Old,-0.109004814779945,1,0.933333333333333
DMSS055,2,Old,0.0519477670565,1,0.9625
DMSS056,2,Old,-0.612707951668605,1,0.9125
DMSS057,2,Old,0.131450840593795,1,0.933333333333333
DMSS058,2,Old,0.053515772007275,1,0.879166666666667
DMSS059,2,Old,0.663315877623537,1,0.8125
DMSS061,2,Old,-0.146302872404632,1,0.745192307692308
DMSS030,2,Old,-0.571728507648614,2,0.770833333333333
DMSS031,2,Old,-1.76042997785716,2,0.845833333333333
DMSS032,2,Old,-0.179569779199612,2,0.875
DMSS036,2,Old,-0.167099758425761,2,0.8625
DMSS037,2,Old,0.478269549103762,2,0.814516129032258
DMSS038,2,Old,-0.119874611604035,2,0.854166666666667
DMSS039,2,Old,-0.200073261529862,2,0.9
DMSS040,2,Old,0.186824540296,2,0.8125
DMSS041,2,Old,-0.256751449299614,2,0.729166666666667
DMSS046,2,Old,-0.430590963641767,2,0.816666666666667
DMSS050,2,Old,-0.147387437813294,2,0.875
DMSS051,2,Old,-0.14880756442985,2,0.808333333333333
DMSS052,2,Old,0.113848392250828,2,0.8875
DMSS053,2,Old,0.23382345954246,2,0.933333333333333
DMSS054,2,Old,0.245334902822534,2,0.916666666666667
DMSS055,2,Old,0.166633659876926,2,0.883333333333333
DMSS056,2,Old,0.0427604743362775,2,0.845833333333333
DMSS057,2,Old,0.13174702889529,2,0.8875
DMSS058,2,Old,-0.0743067857017044,2,0.866666666666667
DMSS059,2,Old,0.116297480910365,2,0.80625
DMSS061,2,Old,-0.626721185572666,2,0.701923076923077
DMSS030,2,Old,-1.63961864742372,4,0.766666666666667
DMSS031,2,Old,-0.829482468299537,4,0.833333333333333
DMSS032,2,Old,-0.490870187628923,4,0.820652173913043
DMSS036,2,Old,0.119526942992597,4,0.791666666666667
DMSS037,2,Old,0.484657325643723,4,0.730612244897959
DMSS038,2,Old,-0.40391350266909,4,0.725
DMSS039,2,Old,0.155838345444037,4,0.816666666666667
DMSS040,2,Old,0.152790453102044,4,0.679166666666667
DMSS041,2,Old,-0.871974715221837,4,0.6625
DMSS046,2,Old,-0.708235064396507,4,0.741666666666667
DMSS050,2,Old,-0.458324239385475,4,0.795833333333333
DMSS051,2,Old,0.0590381987034264,4,0.7375
DMSS052,2,Old,-0.654132957147332,4,0.7625
DMSS053,2,Old,0.323070305012494,4,0.870833333333333
DMSS054,2,Old,0.0927878434934851,4,0.883333333333333
DMSS055,2,Old,-0.352441410192224,4,0.820833333333333
DMSS056,2,Old,-0.400214171054105,4,0.8
DMSS057,2,Old,0.0564597881361121,4,0.804166666666667
DMSS058,2,Old,-0.221429561100655,4,0.779166666666667
DMSS059,2,Old,0.328573361354544,4,0.75625
DMSS061,2,Old,-0.625146898466765,4,0.639423076923077
