name,group,groupStr,respVar,ss,beha
DMSS030,2,Old,-0.155537395100003,1,0.933333333333333
DMSS031,2,Old,0.298484516649529,1,0.920833333333333
DMSS032,2,Old,0.944787926602302,1,0.956521739130435
DMSS036,2,Old,0.92622726314351,1,0.941666666666667
DMSS037,2,Old,0.591402811390793,1,0.930612244897959
DMSS038,2,Old,0.289832721890215,1,0.908333333333333
DMSS039,2,Old,0.0714296940382579,1,0.983333333333333
DMSS040,2,Old,0.103861414655367,1,0.929166666666667
DMSS041,2,Old,-0.0712066048330896,1,0.770833333333333
DMSS046,2,Old,1.24489407177478,1,0.895833333333333
DMSS050,2,Old,0.0319891980463679,1,0.9625
DMSS051,2,Old,-0.225782207444562,1,0.941666666666667
DMSS052,2,Old,0.340630340077735,1,0.945833333333333
DMSS053,2,Old,1.02091194388679,1,0.991666666666667
DMSS054,2,Old,2.43028168898491,1,0.933333333333333
DMSS055,2,Old,0.372697652801772,1,0.9625
DMSS056,2,Old,0.657744992190347,1,0.9125
DMSS057,2,Old,0.00471948185860567,1,0.933333333333333
DMSS058,2,Old,0.063941061612632,1,0.879166666666667
DMSS059,2,Old,-0.178967783873225,1,0.8125
DMSS061,2,Old,0.0857064580286174,1,0.745192307692308
DMSS030,2,Old,0.0818048344345191,2,0.770833333333333
DMSS031,2,Old,0.693212209743389,2,0.845833333333333
DMSS032,2,Old,0.824026428369709,2,0.875
DMSS036,2,Old,0.745992920307305,2,0.8625
DMSS037,2,Old,0.54931652959745,2,0.814516129032258
DMSS038,2,Old,0.167621680199312,2,0.854166666666667
DMSS039,2,Old,0.253982279056283,2,0.9
DMSS040,2,Old,0.197596236876362,2,0.8125
DMSS041,2,Old,0.119116869253409,2,0.729166666666667
DMSS046,2,Old,1.24232592036226,2,0.816666666666667
DMSS050,2,Old,-0.0977088152808648,2,0.875
DMSS051,2,Old,-0.325979449279519,2,0.808333333333333
DMSS052,2,Old,0.325676117367123,2,0.8875
DMSS053,2,Old,1.02967108580041,2,0.933333333333333
DMSS054,2,Old,2.6235645622831,2,0.916666666666667
DMSS055,2,Old,0.117615976959359,2,0.883333333333333
DMSS056,2,Old,0.75077112851713,2,0.845833333333333
DMSS057,2,Old,0.235074805162099,2,0.8875
DMSS058,2,Old,0.0159010132669353,2,0.866666666666667
DMSS059,2,Old,0.0777857818914918,2,0.80625
DMSS061,2,Old,-0.212878769705688,2,0.701923076923077
DMSS030,2,Old,-0.295496612329137,4,0.766666666666667
DMSS031,2,Old,0.561932526521025,4,0.833333333333333
DMSS032,2,Old,0.60554457948253,4,0.820652173913043
DMSS036,2,Old,0.627609019929655,4,0.791666666666667
DMSS037,2,Old,0.487328346470708,4,0.730612244897959
DMSS038,2,Old,0.207929536304864,4,0.725
DMSS039,2,Old,0.237874779363923,4,0.816666666666667
DMSS040,2,Old,0.138828171544039,4,0.679166666666667
DMSS041,2,Old,0.19521210627946,4,0.6625
DMSS046,2,Old,0.612981837736351,4,0.741666666666667
DMSS050,2,Old,0.0628217728295634,4,0.795833333333333
DMSS051,2,Old,-0.639565574135908,4,0.7375
DMSS052,2,Old,0.37127092283527,4,0.7625
DMSS053,2,Old,0.6642099512765,4,0.870833333333333
DMSS054,2,Old,2.28785816993185,4,0.883333333333333
DMSS055,2,Old,0.146896509950331,4,0.820833333333333
DMSS056,2,Old,0.664233090442449,4,0.8
DMSS057,2,Old,0.336526097170555,4,0.804166666666667
DMSS058,2,Old,0.239115821361066,4,0.779166666666667
DMSS059,2,Old,-0.217213094762664,4,0.75625
DMSS061,2,Old,-0.0304227345349688,4,0.639423076923077
