name,group,groupStr,respVar,ss,beha
DMSS030,2,Old,-0.218389745329934,1,0.933333333333333
DMSS031,2,Old,0.325620981879859,1,0.920833333333333
DMSS032,2,Old,0.983257051735269,1,0.956521739130435
DMSS036,2,Old,0.894490432286695,1,0.941666666666667
DMSS037,2,Old,0.616705889281052,1,0.930612244897959
DMSS038,2,Old,0.28403376782786,1,0.908333333333333
DMSS039,2,Old,0.0826731575381136,1,0.983333333333333
DMSS040,2,Old,0.0504972886939467,1,0.929166666666667
DMSS041,2,Old,-0.114518593432901,1,0.770833333333333
DMSS046,2,Old,1.2856286160796,1,0.895833333333333
DMSS050,2,Old,0.0160422321804423,1,0.9625
DMSS051,2,Old,-0.235656683354092,1,0.941666666666667
DMSS052,2,Old,0.382463692919662,1,0.945833333333333
DMSS053,2,Old,1.07847324574167,1,0.991666666666667
DMSS054,2,Old,2.57160138753926,1,0.933333333333333
DMSS055,2,Old,0.354280952732096,1,0.9625
DMSS056,2,Old,0.63554678446598,1,0.9125
DMSS057,2,Old,0.0237185524081831,1,0.933333333333333
DMSS058,2,Old,0.0349411558349703,1,0.879166666666667
DMSS059,2,Old,-0.162240703488202,1,0.8125
DMSS061,2,Old,0.138790578769293,1,0.745192307692308
DMSS030,2,Old,-0.00327825138027398,2,0.770833333333333
DMSS031,2,Old,0.6707863543111,2,0.845833333333333
DMSS032,2,Old,0.74760201350823,2,0.875
DMSS036,2,Old,0.616367716620417,2,0.8625
DMSS037,2,Old,0.478769692540706,2,0.814516129032258
DMSS038,2,Old,0.13963153075955,2,0.854166666666667
DMSS039,2,Old,0.291005961548913,2,0.9
DMSS040,2,Old,0.16968141819703,2,0.8125
DMSS041,2,Old,0.0820185469984094,2,0.729166666666667
DMSS046,2,Old,1.31616355031435,2,0.816666666666667
DMSS050,2,Old,-0.0729937037299393,2,0.875
DMSS051,2,Old,-0.303355700734424,2,0.808333333333333
DMSS052,2,Old,0.312223849008754,2,0.8875
DMSS053,2,Old,1.11862674259693,2,0.933333333333333
DMSS054,2,Old,2.78279656659415,2,0.916666666666667
DMSS055,2,Old,0.0748956406209332,2,0.883333333333333
DMSS056,2,Old,0.751481979891925,2,0.845833333333333
DMSS057,2,Old,0.278753422199927,2,0.8875
DMSS058,2,Old,0.00338563833358633,2,0.866666666666667
DMSS059,2,Old,0.0848183967713601,2,0.80625
DMSS061,2,Old,-0.209178647926177,2,0.701923076923077
DMSS030,2,Old,-0.315863594863898,4,0.766666666666667
DMSS031,2,Old,0.530576646637968,4,0.833333333333333
DMSS032,2,Old,0.616751022704333,4,0.820652173913043
DMSS036,2,Old,0.554346164099724,4,0.791666666666667
DMSS037,2,Old,0.429163180368449,4,0.730612244897959
DMSS038,2,Old,0.206321104179708,4,0.725
DMSS039,2,Old,0.283828553207811,4,0.816666666666667
DMSS040,2,Old,0.150691492698462,4,0.679166666666667
DMSS041,2,Old,0.191026312364838,4,0.6625
DMSS046,2,Old,0.722678860601195,4,0.741666666666667
DMSS050,2,Old,0.0395446418612894,4,0.795833333333333
DMSS051,2,Old,-0.60832341086695,4,0.7375
DMSS052,2,Old,0.361057538477157,4,0.7625
DMSS053,2,Old,0.744822591160659,4,0.870833333333333
DMSS054,2,Old,2.40413754679093,4,0.883333333333333
DMSS055,2,Old,0.151249957321122,4,0.820833333333333
DMSS056,2,Old,0.657066721357984,4,0.8
DMSS057,2,Old,0.360208678466221,4,0.804166666666667
DMSS058,2,Old,0.23202607612717,4,0.779166666666667
DMSS059,2,Old,-0.168187858931538,4,0.75625
DMSS061,2,Old,-0.068974676743433,4,0.639423076923077
