name,group,groupStr,load1,load2,load3
DMSS030,2,Old,-0.219896310841715,0.0330574141413866,-0.258143475718945
DMSS031,2,Old,0.183076324618532,0.568211441635826,0.420886221028638
DMSS032,2,Old,0.799748000530143,0.654411493299319,0.48721775445285
DMSS036,2,Old,0.791324654173309,0.55458411703683,0.472694404910562
DMSS037,2,Old,0.464582851811211,0.411245272350395,0.344826643192771
DMSS038,2,Old,0.270767406853458,0.151853672086674,0.213568147713483
DMSS039,2,Old,0.0604674948630698,0.295329764282906,0.241875550124303
DMSS040,2,Old,0.0614130309304774,0.166012872273275,0.092964425768127
DMSS041,2,Old,-0.11278772906987,0.099036441863408,0.193771093508923
DMSS046,2,Old,1.04988019222828,1.05890087041496,0.537100128506438
DMSS050,2,Old,0.033818728155787,-0.0866206178975784,0.0642746237037229
DMSS051,2,Old,-0.325499543268041,-0.354819448746357,-0.651651204741126
DMSS052,2,Old,0.300392825320513,0.268667267173578,0.305107991482113
DMSS053,2,Old,0.972546702730666,0.949033029049501,0.581495739688333
DMSS054,2,Old,2.33746893591579,2.58121983238249,2.2040242140194
DMSS055,2,Old,0.297601729393318,0.108710199965656,0.0808297371928412
DMSS056,2,Old,0.583102588014042,0.694630641103271,0.598293865847485
DMSS057,2,Old,-0.0149132956026831,0.222465135218103,0.295866883575001
DMSS058,2,Old,-0.0604338128076352,-0.075759255059189,0.171325036278614
DMSS059,2,Old,-0.225186707172146,0.0753679452430356,-0.279881589710759
DMSS061,2,Old,0.103412901536292,-0.195059732531692,-0.0336520812115494
dmss01,1,Young,0.662812361989821,0.538199899122071,0.501700938718313
dmss02,1,Young,0.2965874599749,0.388932381731013,0.0979420649083084
dmss03,1,Young,1.09573948621846,0.774893644288396,0.65930475024568
dmss06,1,Young,0.726961651771668,0.613299228003079,0.44379468486694
dmss07,1,Young,0.201310022203548,0.324891914419834,0.273406438882883
dmss08,1,Young,0.928814115183737,1.00591486307504,0.759844466021764
dmss11,1,Young,0.644786994918149,0.536388219781116,0.17230686649276
dmss13,1,Young,0.712139474361673,0.251273472339161,0.308321882944237
dmss14,1,Young,0.665433022366867,0.728857071449534,0.616038255599341
dmss15,1,Young,0.165727033673924,-0.0367005170143893,0.275287523809415
dmss16,1,Young,0.0224767799126551,0.155881186618207,-0.0538578330520008
dmss17,1,Young,0.262944552991302,0.356000483212315,0.279938418146096
dmss19,1,Young,0.0983253295152914,0.449078655638108,0.417335554633611
dmss20,1,Young,0.619649517136678,0.279639739803262,0.637684697331772
dmss21,1,Young,0.415509844117665,0.262072455171368,0.145852132205113
dmss22,1,Young,0.0378097401569659,0.163971152260109,0.24628576074255
dmss25,1,Young,0.0806725847838464,0.0465594831681703,0.0221698400704571
dmss26,1,Young,0.750113298407091,-0.0641799356994674,0.0484657150391969
dmss27,1,Young,0.360293168559134,0.0952072901602877,0.0231590476435529
dmss29,1,Young,0.636154017639645,0.652574769523187,0.295641943734207
