beha,var,subj,ss,group,beha_Bnorm
0.954166666666667,0.605122530684956,1,1,1,0.970236058952462
0.925,0.279707952617889,2,1,1,0.961721002255517
0.904166666666667,0.238039568665602,3,1,1,0.956434645449829
0.829166666666667,0.504892347958576,4,1,1,0.939961045055219
0.8125,-0.741311869788506,5,1,1,0.936606257612635
0.9625,1.41836443277338,6,1,1,0.973068509708255
0.95,0.795857097663111,7,1,1,0.968904321648314
0.9875,0.124300796781544,8,1,1,0.984145966581465
0.929166666666667,-0.00417384359082048,9,1,1,0.962842143224458
0.929166666666667,-0.0728750217142825,10,1,1,0.962842143224458
0.979166666666667,-0.41670435583482,11,1,1,0.979779928736335
0.9875,-0.599061209383143,12,1,1,0.984145966581465
0.970833333333333,-0.178181826899045,13,1,1,0.976199433846709
0.841666666666667,0.369027019532893,14,1,1,0.942529738963875
0.904166666666667,0.0987780522465225,15,1,1,0.956434645449829
0.9375,-0.0519201719257313,16,1,1,0.965165792761796
0.8875,-0.159748103275242,17,1,1,0.952498783405452
0.933333333333333,0.356250789350805,18,1,1,0.963989481699087
0.95,0.0359549136066268,19,1,1,0.968904321648314
0.95,0.438277105312296,20,1,1,0.968904321648314
0.933333333333333,0.00539697761468959,21,1,2,0.963989481699087
0.920833333333333,0.25508694701314,22,1,2,0.960623670895172
0.956521739130435,0.512207377374205,23,1,2,0.971011874034633
0.941666666666667,0.227422213509219,24,1,2,0.966374332457903
0.930612244897959,0.626677546617447,25,1,2,0.963237099418026
0.908333333333333,-0.780783506456408,26,1,2,0.957455068746818
0.983333333333333,-0.0630082117088686,27,1,2,0.981828539656086
0.929166666666667,-0.0607715148056092,28,1,2,0.962842143224458
0.770833333333333,-0.368629806166026,29,1,2,0.928476779051816
0.895833333333333,0.347156506667732,30,1,2,0.954439639781966
0.9625,0.0150857918865498,31,1,2,0.973068509708255
0.941666666666667,-0.682271735085564,32,1,2,0.966374332457903
0.945833333333333,-0.0753287059654798,33,1,2,0.967618962794842
0.991666666666667,0.429326909426276,34,1,2,0.986892084472495
0.9625,0.339429854131512,36,1,2,0.973068509708255
0.9125,0.488200121211329,37,1,2,0.958492407998426
0.933333333333333,-0.665378910713949,38,1,2,0.963989481699087
0.879166666666667,0.361126436387958,39,1,2,0.950605050386393
0.8125,0.559144899232963,40,1,2,0.936606257612635
0.745192307692308,-0.293511009757312,41,1,2,0.923597063210785
0.920833333333333,1.16659114707268,1,2,1,0.960623670895172
0.895833333333333,0.23729661921859,2,2,1,0.954439639781966
0.945833333333333,0.543870746109816,3,2,1,0.967618962794842
0.8125,0.378543199528595,4,2,1,0.936606257612635
0.8125,-0.602275939563863,5,2,1,0.936606257612635
0.925,1.47452014053458,6,2,1,0.961721002255517
0.895833333333333,0.387358803512423,7,2,1,0.954439639781966
0.966666666666667,-0.200302036057498,8,2,1,0.974589512105058
0.875,0.0836785993585275,9,2,1,0.949673995364581
0.916666666666667,-0.0381872352654759,10,2,1,0.95954807685707
0.9375,-0.116825755607098,11,2,1,0.965165792761796
0.925,-0.599413107572639,12,2,1,0.961721002255517
0.895833333333333,0.560941431948953,13,2,1,0.954439639781966
0.75,0.35718477113308,14,2,1,0.92450698032591
0.904166666666667,-0.0749963000030779,15,2,1,0.956434645449829
0.916666666666667,-0.00579111683157062,16,2,1,0.95954807685707
0.829166666666667,-0.0693312412153247,17,2,1,0.939961045055219
0.85,0.125248142978723,18,2,1,0.944271794289954
0.9,-0.378078919752366,19,2,1,0.955429878514695
0.85,1.14094931294182,20,2,1,0.944271794289954
0.770833333333333,0.272677757723061,21,2,2,0.928476779051816
0.845833333333333,0.138738210841924,22,2,2,0.943397579815642
0.875,0.67850340003928,23,2,2,0.949673995364581
0.8625,0.75536606745645,24,2,2,0.946936573295582
0.814516129032258,0.239427734646832,25,2,2,0.937008310551804
0.854166666666667,-0.552989417564319,26,2,2,0.945152758287007
0.9,0.151787686647063,27,2,2,0.955429878514695
0.8125,-0.17737764043092,28,2,2,0.936606257612635
0.729166666666667,-0.138733662976571,29,2,2,0.920576858207649
0.816666666666667,0.0326370619223416,30,2,2,0.937438246813916
0.875,-0.0721650527370554,31,2,2,0.949673995364581
0.808333333333333,-0.650164930510643,32,2,2,0.935778339075967
0.8875,-0.554111119244908,33,2,2,0.952498783405452
0.933333333333333,0.48270828305149,34,2,2,0.963989481699087
0.883333333333333,0.686407629589967,36,2,2,0.951546415145811
0.845833333333333,0.357173429709038,37,2,2,0.943397579815642
0.8875,0.402101354013453,38,2,2,0.952498783405452
0.866666666666667,0.233782546993048,39,2,2,0.947840319799599
0.80625,0.332352351820774,40,2,2,0.935365836365361
0.701923076923077,-0.182929964931495,41,2,2,0.915473760537789
0.845833333333333,0.801333301652732,1,3,1,0.943397579815642
0.783333333333333,-0.0937312591421956,2,3,1,0.930884570383723
0.8875,0.207019441790232,3,3,1,0.952498783405452
0.683333333333333,-0.0341407950285657,4,3,1,0.912002336444696
0.758333333333333,-0.555607178297253,5,3,1,0.926089261881522
0.891666666666667,1.01926840685572,6,3,1,0.953462913981322
0.845833333333333,-0.136073513659473,7,3,1,0.943397579815642
0.933333333333333,-0.233335181608679,8,3,1,0.963989481699087
0.8125,-0.238752847472703,9,3,1,0.936606257612635
0.8875,0.118548166150279,10,3,1,0.952498783405452
0.908333333333333,-0.0546274878229294,11,3,1,0.957455068746818
0.95,-0.801726874489228,12,3,1,0.968904321648314
0.854166666666667,0.219713628995814,13,3,1,0.945152758287007
0.820833333333333,0.422373201213558,14,3,1,0.938274540854566
0.8,0.240343403573477,15,3,1,0.93413383513027
0.870833333333333,0.0760335004865118,16,3,1,0.948752613692887
0.779166666666667,-0.0715425848649897,17,3,1,0.930079471670358
0.779166666666667,-0.48570690127076,18,3,1,0.930079471670358
0.870833333333333,0.225042391989478,19,3,1,0.948752613692887
0.783333333333333,0.432994240441356,20,3,1,0.930884570383723
0.766666666666667,0.284390069029647,21,3,2,0.927678880815064
0.833333333333333,0.0603557353199024,22,3,2,0.940811791944263
0.820652173913043,0.480967725411684,23,3,2,0.938238087428162
0.791666666666667,0.209473070426233,24,3,2,0.932503080738565
0.730612244897959,0.231505589677414,25,3,2,0.920848588321267
0.725,-0.832232665055869,26,3,2,0.919794299917438
0.816666666666667,-0.0173900862056722,27,3,2,0.937438246813916
0.679166666666667,-0.117517337616286,28,3,2,0.911224465943322
0.6625,-0.18577549149397,29,3,2,0.908111100978148
0.741666666666667,0.582586106137677,30,3,2,0.922931019337604
0.795833333333333,-0.078134047389564,31,3,2,0.933316836555704
0.7375,-1.02762551559825,32,3,2,0.922145108806955
0.7625,0.128905151151338,33,3,2,0.926883087916428
0.870833333333333,0.246545714125372,34,3,2,0.948752613692887
0.820833333333333,0.19318789021994,36,3,2,0.938274540854566
0.8,0.641876023540708,37,3,2,0.93413383513027
0.804166666666667,0.39174961811056,38,3,2,0.93495426877801
0.779166666666667,0.157592359948302,39,3,2,0.930079471670358
0.75625,0.343361532094324,40,3,2,0.925693044493702
0.639423076923077,0.172575262556125,41,3,2,0.903787926569841
