name,group,groupStr,s1,s2,s3,s4
DMSS030,2,Old,-0.120200232795113,-0.253074447089931,-0.18593039394072,-0.230557129121668
DMSS031,2,Old,0.287776606501372,0.303892251016365,0.105840994068084,0.0290693218570705
DMSS032,2,Old,-0.276288819982988,-0.658452288645428,-0.82249757124872,-0.936782502708405
DMSS036,2,Old,-0.460541456750364,-0.450368235657677,-0.741981111188599,-0.943006676916987
DMSS037,2,Old,0.049689584606384,0.0590595894073761,-0.0502006543961384,-0.158366156193926
DMSS038,2,Old,-0.247708271995539,-0.194710513967937,-0.15417062939567,-0.123684101212614
DMSS039,2,Old,-0.0383432235538369,-0.102695164521422,-0.0254181908936329,-0.136023317111496
DMSS040,2,Old,0.024346446158814,0.0329466743880157,-0.083392302226262,-0.018526990153267
DMSS041,2,Old,-0.179007381637415,-0.105098752198332,-0.156611189747667,-0.426706097713016
DMSS046,2,Old,0.227503086846138,0.0426910603881953,-0.448549159044337,-0.721035851558329
DMSS050,2,Old,-0.00535195436314997,-0.155759615402693,-0.189858973017944,-0.309789621191212
DMSS051,2,Old,0.237656185464122,0.256047294708374,0.167132482649435,0.362528169486703
DMSS052,2,Old,-0.0357358101121583,-0.353766732694748,-0.639727410469191,-0.696180018924565
DMSS053,2,Old,-0.143828839768195,-0.613072580508714,-0.648291329086384,-0.710067113284208
DMSS054,2,Old,-0.0218617250636594,0.00978801028601313,-0.223320815856848,-0.326714293080041
DMSS055,2,Old,0.0244804845366809,-0.265493485667364,-0.363062854737737,-0.438424537978421
DMSS056,2,Old,0.0856553862533135,0.0727138509134945,-0.143945198298016,-0.214776469779173
DMSS057,2,Old,0.0535318313995419,-0.0616667152864746,-0.152385338560049,-0.180411385826602
DMSS058,2,Old,-0.157151796005551,-0.277363449176931,-0.479323264538222,-0.281123708953811
DMSS059,2,Old,-0.321303573013841,-0.554892826915644,-0.81555510412887,-0.759341518678902
DMSS061,2,Old,-0.194396442136005,-0.153831132944621,-0.283142677012047,-0.26419797085115
dmss01,1,Young,0.234198049176358,0.197510604630901,0.0355644683083329,-0.0563029950579475
dmss02,1,Young,0.189754303676223,0.215712721111752,-0.0907108691232713,-0.341593890919495
dmss03,1,Young,0.133896127781758,-0.197283317554414,-0.000900645599233707,-0.15723308180879
dmss06,1,Young,-0.115758676035275,-0.138811676675862,-0.0843668632591546,-0.0967016556519369
dmss07,1,Young,-0.115924272966295,-0.179572783171949,-0.164212464561406,-0.202727135179288
dmss08,1,Young,-0.0900566683534659,-0.194664109233748,-0.234649441090457,-0.23905805398867
dmss11,1,Young,0.356274828666013,0.0324172691467707,-0.129582587467078,0.172750914355237
dmss13,1,Young,-0.165447650920532,-0.625576752454678,-0.839319329699696,-0.877122880627324
dmss14,1,Young,0.0771182563059746,0.0279598093462778,-0.231127433765625,-0.348048736466095
dmss15,1,Young,-0.29095512807613,-0.332853247816565,-0.169773809002262,-0.407299056886094
dmss16,1,Young,0.440116086301673,0.366289737610847,0.241301750571312,0.0134028204522648
dmss17,1,Young,-0.352941603397925,-0.252084743337905,-0.45402945012181,-0.49754559652365
dmss19,1,Young,-0.960325596668433,-0.951750074161472,-1.03597679696243,-0.697651816868509
dmss20,1,Young,-0.0769523800860171,-0.0241436306497317,-0.0616374926925261,-0.0693666870266517
dmss21,1,Young,0.0586745346515362,0.132288129725922,0.184025866795676,0.00157887214808412
dmss22,1,Young,-0.487162643844814,-0.591695995337032,-0.554448194735027,-0.571571696271196
dmss25,1,Young,0.209953604682707,0.0536492602277073,-0.11428566564447,-0.0506029672915333
dmss26,1,Young,0.11614893661577,0.220730356941784,-0.0229734037575349,-0.129484727086066
dmss27,1,Young,-0.207767206353962,-0.174224361607129,-0.307754206669466,-0.219063645302349
dmss29,1,Young,0.078871071734114,-0.0481836225405072,0.017854703079436,0.166800497966597
