name,group,groupStr,corr,wrong
DMSS030,2,Old,0.286857849530824,0.109824165605837
DMSS031,2,Old,0.67156197271339,0.0462455111902079
DMSS032,2,Old,1.66169302020283,1.61146994343819
DMSS036,2,Old,1.51593092726807,0.996240486999353
DMSS037,2,Old,0.553409270130882,0.654806407179409
DMSS038,2,Old,0.770527520338062,1.0528756681156
DMSS039,2,Old,2.00164691058761,2.07801796904314
DMSS040,2,Old,0.282873132409163,0.187770474100772
DMSS041,2,Old,0.971228914566174,0.523161643405806
DMSS046,2,Old,1.36009601243837,0.723427873778089
DMSS050,2,Old,0.0846992951176992,-0.0230814058920881
DMSS051,2,Old,0.108576283041488,0.711187939670227
DMSS052,2,Old,1.03710487053388,1.05379105381529
DMSS053,2,Old,4.27176901677784,2.38323316183472
DMSS054,2,Old,3.96500135918092,3.45840360465703
DMSS055,2,Old,2.31641114937713,1.78554512926142
DMSS056,2,Old,1.85466718763686,1.67969972151701
DMSS057,2,Old,1.43972964760325,1.61075892965074
DMSS058,2,Old,2.04495348240976,2.05673394933894
DMSS059,2,Old,0.168157330187874,0.475122567302832
DMSS061,2,Old,-0.231744461856989,-0.654914782755052
dmss01,1,Young,2.36540958178687,1.95405747137626
dmss02,1,Young,1.51243615721443,1.86226402746624
dmss03,1,Young,0.632858162247785,0.911396135963997
dmss06,1,Young,1.03206425775556,0.759912329303135
dmss07,1,Young,0.8158603398586,0.665867517040997
dmss08,1,Young,2.65914440820745,0.829376472072048
dmss11,1,Young,1.66738828793028,1.58566675136088
dmss13,1,Young,1.41146382456176,0.697659272616983
dmss14,1,Young,1.69104864098798,1.75492748836117
dmss15,1,Young,0.829758888737415,-0.113466182113967
dmss16,1,Young,0.470251229301005,1.16178108315452
dmss17,1,Young,1.14270179560874,0.166384187682709
dmss19,1,Young,0.65312397672972,0.453654452673915
dmss20,1,Young,2.46587053468799,1.15205425002231
dmss21,1,Young,1.15037629319748,1.10648744088526
dmss22,1,Young,0.580837526635091,-0.328237340740785
dmss25,1,Young,0.239811223915539,0.580662456606478
dmss26,1,Young,1.63431914183576,1.22734911074227
dmss27,1,Young,0.45983609665133,0.151914509487084
dmss29,1,Young,1.65646193665352,1.47416157015326
