name,group,groupStr,corr,wrong
DMSS030,2,Old,-0.243801223367596,-0.663206448656444
DMSS031,2,Old,0.206441214373969,0.607907189821285
DMSS032,2,Old,0.182734647053555,0.140375463525065
DMSS036,2,Old,0.323491689602235,0.205861748626695
DMSS037,2,Old,0.353329843440577,0.535770387634937
DMSS038,2,Old,0.162533010183853,0.285476789887875
DMSS039,2,Old,0.233465056471561,0.0809851238029439
DMSS040,2,Old,0.0871459839902739,0.291637123464579
DMSS041,2,Old,0.0563912254982862,0.0638867373497807
DMSS046,2,Old,0.629623979952228,-0.57130272475416
DMSS050,2,Old,-0.00244327441218124,0.173780195999239
DMSS051,2,Old,-0.753046818707164,-0.61567737304985
DMSS052,2,Old,0.193811857569429,0.158331467831974
DMSS053,2,Old,0.475078152978313,0.0146993482267571
DMSS054,2,Old,2.1106526130606,2.24016977597677
DMSS055,2,Old,0.115332258544101,-0.380951666762224
DMSS056,2,Old,0.477920899044094,0.614956144896814
DMSS057,2,Old,0.154148296875957,-0.201308141605681
DMSS058,2,Old,0.0515077947306005,-0.0915037979621171
DMSS059,2,Old,-0.255622479332218,-0.154606832226205
DMSS061,2,Old,-0.00982098679247785,-0.288766131786587
dmss01,1,Young,0.434470783043273,0.261961098640734
dmss02,1,Young,0.0568743244887018,0.0125708476082856
dmss03,1,Young,0.0279198173810318,0.487524677010439
dmss06,1,Young,0.427091254767228,0.420243265171174
dmss07,1,Young,0.100154269316699,0.163753080867258
dmss08,1,Young,0.569425013749777,0.503595665124203
dmss11,1,Young,0.124934349409026,0.0574363326985733
dmss13,1,Young,0.108642419035106,-0.190928288981324
dmss14,1,Young,0.52616576783187,0.622383597864563
dmss15,1,Young,0.0660501584054496,-0.213130983258343
dmss16,1,Young,-0.117773058942552,-0.302469772934725
dmss17,1,Young,-0.0316398520103308,0.33098885807097
dmss19,1,Young,0.232889038791573,-0.172783650068887
dmss20,1,Young,0.603547485085892,0.359526072577216
dmss21,1,Young,-0.0301418463185919,0.17159900312943
dmss22,1,Young,0.139522172735235,-0.123695031863745
dmss25,1,Young,0.00338573037820448,-0.35690362094866
dmss26,1,Young,0.0928746046002629,-0.921121476579004
dmss27,1,Young,-0.0930883063161488,-0.109334291007239
dmss29,1,Young,0.158015294634662,0.149656911995946
