beha,var,subj,ss,group,beha_Bnorm
0.954166666666667,0.662812361989821,1,1,1,0.970175962257478
0.925,0.2965874599749,2,1,1,0.961718122104916
0.904166666666667,1.09573948621846,3,1,1,0.9564732718493
0.829166666666667,0.726961651771668,4,1,1,0.940150091967862
0.8125,0.201310022203548,5,1,1,0.936828988937385
0.9625,0.928814115183737,6,1,1,0.97299265494076
0.95,0.644786994918149,7,1,1,0.968852256287683
0.9875,0.712139474361673,8,1,1,0.984031056254403
0.929166666666667,0.665433022366867,9,1,1,0.962830995864742
0.929166666666667,0.165727033673924,10,1,1,0.962830995864742
0.979166666666667,0.0224767799126551,11,1,1,0.97967532581775
0.9875,0.262944552991302,12,1,1,0.984031056254403
0.970833333333333,0.0983253295152914,13,1,1,0.976108508962518
0.841666666666667,0.619649517136678,14,1,1,0.94269360431168
0.904166666666667,0.415509844117665,15,1,1,0.9564732718493
0.9375,0.0378097401569659,16,1,1,0.965138173049478
0.8875,0.0806725847838464,17,1,1,0.952570722423167
0.933333333333333,0.750113298407091,18,1,1,0.963970086051883
0.95,0.360293168559134,19,1,1,0.968852256287683
0.95,0.636154017639645,20,1,1,0.968852256287683
0.933333333333333,-0.219896310841715,21,1,2,0.963970086051883
0.920833333333333,0.183076324618532,22,1,2,0.960629072810959
0.956521739130435,0.799748000530143,23,1,2,0.970947276460484
0.941666666666667,0.791324654173309,24,1,2,0.966338519841875
0.930612244897959,0.464582851811211,25,1,2,0.963223088023762
0.908333333333333,0.270767406853458,26,1,2,0.957485378303391
0.983333333333333,0.0604674948630698,27,1,2,0.981718121931733
0.929166666666667,0.0614130309304774,28,1,2,0.962830995864742
0.770833333333333,-0.11278772906987,29,1,2,0.928784458472606
0.895833333333333,1.04988019222828,30,1,2,0.954494914572728
0.9625,0.033818728155787,31,1,2,0.97299265494076
0.941666666666667,-0.325499543268041,32,1,2,0.966338519841875
0.945833333333333,0.300392825320513,33,1,2,0.967574997578213
