beha,var,subj,ss,group,beha_Bnorm
0.954166666666667,-0.181888129551941,1,1,1,0.970236058952462
0.925,0.121977145791504,2,1,1,0.961721002255517
0.904166666666667,0.925156346551304,3,1,1,0.956434645449829
0.829166666666667,0.123352444412766,4,1,1,0.939961045055219
0.8125,0.120269151632774,5,1,1,0.936606257612635
0.9625,0.397545513885487,6,1,1,0.973068509708255
0.95,0.252951467770701,7,1,1,0.968904321648314
0.9875,0.0263600674009755,8,1,1,0.984145966581465
0.929166666666667,0.189193549965866,9,1,1,0.962842143224458
0.929166666666667,0.101058980816974,10,1,1,0.962842143224458
0.979166666666667,0.0700296766144045,11,1,1,0.979779928736335
0.9875,-0.0813391215882101,12,1,1,0.984145966581465
0.970833333333333,0.236527544575491,13,1,1,0.976199433846709
0.841666666666667,0.162210170003022,14,1,1,0.942529738963875
0.904166666666667,0.261159620768179,15,1,1,0.956434645449829
0.9375,0.190033953432102,16,1,1,0.965165792761796
0.8875,0.216244693514116,17,1,1,0.952498783405452
0.933333333333333,0.350533225877119,18,1,1,0.963989481699087
0.95,-0.08616762182116,19,1,1,0.968904321648314
0.95,0.219403497269656,20,1,1,0.968904321648314
0.933333333333333,0.195775445780212,21,1,2,0.963989481699087
0.920833333333333,0.134972660458373,22,1,2,0.960623670895172
0.956521739130435,0.159629598756656,23,1,2,0.971011874034633
0.941666666666667,0.0527772708339787,24,1,2,0.966374332457903
0.930612244897959,-0.0543805017261739,25,1,2,0.963237099418026
0.908333333333333,0.159527796107487,26,1,2,0.957455068746818
0.983333333333333,0.158122580624865,27,1,2,0.981828539656086
0.929166666666667,0.0839453539724205,28,1,2,0.962842143224458
0.770833333333333,-0.0919936380942651,29,1,2,0.928476779051816
0.895833333333333,0.198620680952532,30,1,2,0.954439639781966
0.9625,-0.262826011489562,31,1,2,0.973068509708255
0.941666666666667,-0.122767952782038,32,1,2,0.966374332457903
0.945833333333333,0.0390887950835135,33,1,2,0.967618962794842
0.991666666666667,0.358102786414507,34,1,2,0.986892084472495
0.9625,0.241015007662668,36,1,2,0.973068509708255
0.9125,-0.143585850575337,37,1,2,0.958492407998426
0.933333333333333,0.197177835462018,38,1,2,0.963989481699087
0.879166666666667,-0.0537292297727551,39,1,2,0.950605050386393
0.8125,-0.297597401034086,40,1,2,0.936606257612635
0.745192307692308,-0.23861531027523,41,1,2,0.923597063210785
0.920833333333333,-0.393855671124199,1,2,1,0.960623670895172
0.895833333333333,0.401170442343719,2,2,1,0.954439639781966
0.945833333333333,-0.113762478693644,3,2,1,0.967618962794842
0.8125,0.109762862172087,4,2,1,0.936606257612635
0.8125,-0.101160340205549,5,2,1,0.936606257612635
0.925,0.481950995745956,6,2,1,0.961721002255517
0.895833333333333,0.260455288882788,7,2,1,0.954439639781966
0.966666666666667,0.323352952226154,8,2,1,0.974589512105058
0.875,0.219002454375151,9,2,1,0.949673995364581
0.916666666666667,0.0793763149699954,10,2,1,0.95954807685707
0.9375,0.172304288623951,11,2,1,0.965165792761796
0.925,-0.162412216492064,12,2,1,0.961721002255517
0.895833333333333,0.311083157861497,13,2,1,0.954439639781966
0.75,0.343849466403505,14,2,1,0.92450698032591
0.904166666666667,0.369497927430188,15,2,1,0.956434645449829
0.916666666666667,0.313673761907163,16,2,1,0.95954807685707
0.829166666666667,-0.123751904531774,17,2,1,0.939961045055219
0.85,0.478258423613213,18,2,1,0.944271794289954
0.9,0.0378676768845124,19,2,1,0.955429878514695
0.85,0.182111890294633,20,2,1,0.944271794289954
0.770833333333333,-0.174425901418686,21,2,2,0.928476779051816
0.845833333333333,0.249354882283436,22,2,2,0.943397579815642
0.875,0.216950679116591,23,2,2,0.949673995364581
0.8625,0.216704639885359,24,2,2,0.946936573295582
0.814516129032258,-0.0154132987595615,25,2,2,0.937008310551804
0.854166666666667,0.251688129614495,26,2,2,0.945152758287007
0.9,0.0899112569090753,27,2,2,0.955429878514695
0.8125,0.123923223942446,28,2,2,0.936606257612635
0.729166666666667,0.0671838981140064,29,2,2,0.920576858207649
0.816666666666667,0.180757789078794,30,2,2,0.937438246813916
