name,group,groupStr,load1,load2,load3
DMSS030,2,Old,0.375329814078307,0.098550404470981,-0.19460000887629
DMSS031,2,Old,-0.225304907101222,-0.234232579671078,0.059489675886086
DMSS032,2,Old,-0.532662782244358,-0.764353432858826,-1.29604025886218
DMSS036,2,Old,-0.306138716794426,-0.504337673642916,-0.593924553677625
DMSS037,2,Old,-0.11199447242366,-0.359318763406208,-0.201212957744679
DMSS038,2,Old,-0.581741421525083,-0.268497264113708,-0.282136539379654
DMSS039,2,Old,-0.062695786894473,-0.129727719620899,-0.04035936845573
DMSS040,2,Old,0.0923388409103723,0.0796099054407565,-0.0373787280965713
DMSS041,2,Old,-0.161160012624561,-0.179129628729146,-0.463910755837728
DMSS046,2,Old,-0.73769080153354,-0.711287955307868,-0.779939768548961
DMSS050,2,Old,-0.174821521018687,-0.0707431352018819,-0.273517570080093
DMSS051,2,Old,0.128468873382942,-0.232384759374848,0.0302644029495412
DMSS052,2,Old,-0.341695606135595,-0.620549493973854,-0.568550015327599
DMSS053,2,Old,-0.284236934091145,-0.957138334863092,-0.271421831461079
DMSS054,2,Old,-0.172190020885688,-0.450331120236345,-0.120885288563909
DMSS055,2,Old,0.042615420120695,0.41236961899763,-0.569179641202277
DMSS056,2,Old,-0.330022566514945,-0.235511246885781,-0.334824022180639
DMSS057,2,Old,-0.194772592700038,-0.419853470848736,-0.386330229922701
DMSS058,2,Old,-0.483250881362502,-0.755956085286703,-0.0934839245691081
DMSS059,2,Old,-0.536514286774804,-0.527623557279258,-0.704081605128352
DMSS061,2,Old,-0.268751329408305,-0.0732650141026886,-0.463496951730957
dmss01,1,Young,0.0871741175437696,-0.0181480286947801,-0.117047917278392
dmss02,1,Young,-0.470015671802057,-0.10201648368586,-0.282541759859492
dmss03,1,Young,-0.452718322872509,-0.728633352914312,-0.515374892182246
dmss06,1,Young,-0.159536904747467,-0.233722733552162,-0.246317792136139
dmss07,1,Young,-0.130025091132058,-0.269048089032991,-0.117189161202912
dmss08,1,Young,-0.176565158744264,-0.410321233146535,-0.262054580341986
dmss11,1,Young,-0.0947229147990762,-0.407169874372227,-0.670195192683848
dmss13,1,Young,-0.188681811728868,-0.478145040626054,-0.587637321445646
dmss14,1,Young,-0.323358285574294,-0.292017273547427,-0.365286786183791
dmss15,1,Young,-0.57154277829929,-0.0211570161231098,-0.476523751477821
dmss16,1,Young,-0.158356604297211,-0.112541525737628,0.0649756202132328
dmss17,1,Young,0.115859067843824,-0.537575418922026,-1.04634878859754
dmss19,1,Young,0.323336129641893,-0.00222249559655163,-0.398227412872409
dmss20,1,Young,0.0361374356097598,0.134642003630218,-0.202664039734744
dmss21,1,Young,-0.109547124638629,-0.270321198872398,-0.112490580782873
dmss22,1,Young,-0.331255222093114,0.017975057446521,-0.411224638586541
dmss25,1,Young,-0.260899477793918,0.0732567877341351,0.109068675938603
dmss26,1,Young,-0.238303727476768,-0.297087195295205,-0.392526443253494
dmss27,1,Young,-0.00972678161093881,-0.104455379903019,-0.204194837858617
dmss29,1,Young,-0.200239724908196,-0.0349387225447951,-0.101332335460892
