name,group,groupStr,s1,s2,s3,s4
DMSS030,2,Old,-0.240843217083497,-0.323887479732726,-0.305827263540807,-0.308763039007103
DMSS031,2,Old,0.228386338956428,0.313152619603697,0.101514056770236,0.0526562965856433
DMSS032,2,Old,-0.299886417014175,-0.770752429857921,-0.930697569257034,-1.0629901398971
DMSS036,2,Old,-0.399714922187699,-0.41548774589307,-0.776832169582454,-0.875008372842634
DMSS037,2,Old,0.0443296750188487,0.102665995165552,-0.0284689902991112,-0.149266969143193
DMSS038,2,Old,-0.166422077446393,-0.129717907670932,-0.074780664824827,-0.063369326511725
DMSS039,2,Old,0.0393365252616097,-0.0445102346800894,0.0213360829833287,-0.0597845738642618
DMSS040,2,Old,0.0996217959684774,0.105084174608103,-0.00678370262253187,0.0345757875529347
DMSS041,2,Old,-0.125278631315212,-0.0826891700174613,-0.101864510984093,-0.319103113449617
DMSS046,2,Old,0.466226831216561,0.174207078627444,-0.465960851679504,-0.689319385659884
DMSS050,2,Old,0.0470229476966311,-0.142574353443658,-0.165090917691065,-0.299027757354652
DMSS051,2,Old,0.127490679888669,0.400746032047386,0.142047435393195,0.368166377486584
DMSS052,2,Old,0.0205817872786317,-0.258014687909812,-0.476159776164266,-0.576691507189922
DMSS053,2,Old,0.0593610658433395,-0.405662396628588,-0.365909277819811,-0.509766630655694
DMSS054,2,Old,0.0455175074740012,0.0446488423598925,-0.138805460840694,-0.296143756339013
DMSS055,2,Old,-0.0258910058881851,-0.275818665813308,-0.345449687174783,-0.402464778811603
DMSS056,2,Old,0.0969749865422551,0.0665429914670551,-0.089149808733053,-0.133664942978451
DMSS057,2,Old,0.0520231202492193,-0.0669227260723213,-0.160214390862513,-0.194684055230473
DMSS058,2,Old,-0.217905134599267,-0.266758925900227,-0.467521243554977,-0.237876390993143
DMSS059,2,Old,-0.312564346909109,-0.589668435713023,-0.864142202231564,-0.74169305029757
DMSS061,2,Old,-0.194471370349611,-0.0675578563041686,-0.247994722562293,-0.218558361504401
dmss01,1,Young,0.270906213301679,0.167615754501834,0.0494778925917228,-0.039444166488266
dmss02,1,Young,0.261217400456792,0.264789486770448,-0.0503406395391363,-0.219778752123026
dmss03,1,Young,0.376747685318847,-0.107950002291858,0.138245295083367,0.0518243062117198
dmss06,1,Young,-0.153762148112057,-0.128190931439919,-0.102656341388795,-0.0757887755269578
dmss07,1,Young,0.00221025719376364,-0.111274418023798,-0.0183545484043065,-0.135213287017282
dmss08,1,Young,-0.0961691860208086,-0.248685370601561,-0.276829361950405,-0.343644160560378
dmss11,1,Young,-0.0657644682477162,-0.318398203660024,-0.159450833647187,-0.288952635321601
dmss13,1,Young,0.00721907266516811,-0.382088109571147,-0.614055884344367,-0.636299479220441
dmss14,1,Young,0.0378930341227968,-0.0389605411340638,-0.279486878241574,-0.423215775136197
dmss15,1,Young,-0.22627198609035,-0.262172066488792,-0.15382866653576,-0.352060564722316
dmss16,1,Young,0.530578955250476,0.450915936684284,0.285127030395789,0.070996120707353
dmss17,1,Young,-0.393967196893111,-0.308457925026078,-0.496831640870407,-0.542046976404921
dmss19,1,Young,-0.809384045996196,-0.740352943551423,-0.792637564029791,-0.364729488370463
dmss20,1,Young,-0.0792089875785316,-0.00711551099693626,-0.0799986917603441,-0.034870693561279
dmss21,1,Young,0.0306653159590224,0.103598319925013,0.12619700452738,-0.0291629343880776
dmss22,1,Young,-0.567044153220411,-0.699938290301132,-0.682635892023472,-0.700324958396985
dmss25,1,Young,0.115283256507377,-0.0025412923809249,-0.169378105947671,-0.0232688559556135
dmss26,1,Young,0.164429691082639,0.204410164779783,0.0990464872926529,-0.025033876887618
dmss27,1,Young,-0.168131138642166,-0.122950390215501,-0.25296990179703,-0.163121334711434
dmss29,1,Young,0.142973507639757,-0.0334331454952081,0.0985739137879454,0.221345208576516
