name,group,groupStr,delayVar,ss,beha
dmss01,1,Young,0.0477207272794487,1,0.954166666666667
dmss02,1,Young,-0.506779009299343,1,0.925
dmss03,1,Young,-0.854912113539998,1,0.904166666666667
dmss06,1,Young,-0.107964623553223,1,0.829166666666667
dmss07,1,Young,0.0314267730412423,1,0.8125
dmss08,1,Young,-0.334737857867039,1,0.9625
dmss11,1,Young,-0.196739538362582,1,0.95
dmss13,1,Young,-0.460597390679125,1,0.9875
dmss14,1,Young,-0.1355835128409,1,0.929166666666667
dmss15,1,Young,-0.175492738997812,1,0.929166666666667
dmss16,1,Young,-0.00311827726978447,1,0.979166666666667
dmss17,1,Young,-0.803263955260009,1,0.9875
dmss19,1,Young,0.00549846074431313,1,0.970833333333333
dmss20,1,Young,-0.953098755670953,1,0.841666666666667
dmss21,1,Young,-0.0205742699170089,1,0.904166666666667
dmss22,1,Young,-0.0758273883167051,1,0.9375
dmss25,1,Young,-0.159058560470996,1,0.8875
dmss26,1,Young,0.0467941030815333,1,0.933333333333333
dmss27,1,Young,-0.0954443684957394,1,0.95
dmss29,1,Young,-0.135671723032374,1,0.95
dmss01,1,Young,-0.16957298893246,2,0.920833333333333
dmss02,1,Young,-0.46591827185124,2,0.895833333333333
dmss03,1,Young,-1.80032786839758,2,0.945833333333333
dmss06,1,Young,0.0931313139493412,2,0.8125
dmss07,1,Young,-0.0298689045248189,2,0.8125
dmss08,1,Young,-0.189764329083797,2,0.925
dmss11,1,Young,-0.366500445431395,2,0.895833333333333
dmss13,1,Young,-0.311185203011598,2,0.966666666666667
dmss14,1,Young,-0.198203969705819,2,0.875
dmss15,1,Young,-0.170350033101277,2,0.916666666666667
dmss16,1,Young,-0.137245232269206,2,0.9375
dmss17,1,Young,-0.54421459051215,2,0.925
dmss19,1,Young,0.317847829570469,2,0.895833333333333
dmss20,1,Young,0.192632337467723,2,0.75
dmss21,1,Young,-0.118046214841414,2,0.904166666666667
dmss22,1,Young,-0.179982508968466,2,0.916666666666667
dmss25,1,Young,-0.194387899894663,2,0.829166666666667
dmss26,1,Young,-1.17706153173944,2,0.85
dmss27,1,Young,-0.199557725268483,2,0.9
dmss29,1,Young,-0.093286441830475,2,0.85
dmss01,1,Young,-0.00656286645481567,4,0.845833333333333
dmss02,1,Young,-0.281639090541638,4,0.783333333333333
dmss03,1,Young,-1.04598767697297,4,0.8875
dmss06,1,Young,-0.102785430946999,4,0.683333333333333
dmss07,1,Young,-0.206625106993611,4,0.758333333333333
dmss08,1,Young,-0.118894071689289,4,0.891666666666667
dmss11,1,Young,-0.240601241283227,4,0.845833333333333
dmss13,1,Young,-1.6982375737911,4,0.933333333333333
dmss14,1,Young,-0.821324726498984,4,0.8125
dmss15,1,Young,-0.0804643724356278,4,0.8875
dmss16,1,Young,-0.140493021206524,4,0.908333333333333
dmss17,1,Young,-1.66032364941103,4,0.95
dmss19,1,Young,-0.562090795943186,4,0.854166666666667
dmss20,1,Young,-0.338791420958576,4,0.820833333333333
dmss21,1,Young,-0.134132503552936,4,0.8
dmss22,1,Young,-1.10753273724488,4,0.870833333333333
dmss25,1,Young,-0.0387519895801757,4,0.779166666666667
dmss26,1,Young,-0.179817471907749,4,0.779166666666667
dmss27,1,Young,0.0272643541180653,4,0.870833333333333
dmss29,1,Young,0.0580523248422891,4,0.783333333333333
