name,group,groupStr,load1,load2,load3
DMSS030,2,Old,0.239185062791925,0.0451805634759471,-0.260872210316264
DMSS031,2,Old,-0.336417141550477,-0.647412342032008,-0.224403838613351
DMSS032,2,Old,-0.518749472861284,-1.07199427440781,-0.995857779252031
DMSS036,2,Old,-0.332864460613031,-1.1826617432823,-0.467983146134628
DMSS037,2,Old,-0.0850825910591219,-0.182543087889634,-0.155236171282175
DMSS038,2,Old,-0.426846638976904,-0.164423214915779,-0.247483506107745
DMSS039,2,Old,-0.0478183001024773,-0.131487289583479,-0.134632288275666
DMSS040,2,Old,-0.0510010034092844,0.0266789314135315,-0.028677133499006
DMSS041,2,Old,-0.238817416966046,-0.193831725731095,-0.361972551364529
DMSS046,2,Old,-0.70649197804023,-0.838845796600565,-0.770624362847333
DMSS050,2,Old,-0.0704452198224808,-0.0666792199056032,-0.188505347950533
DMSS051,2,Old,0.245173149445707,-0.277576454430765,-0.091232168653556
DMSS052,2,Old,-0.39060615586102,-0.582083305203348,-0.512728106683672
DMSS053,2,Old,-0.237879734893105,-0.722405173755488,-0.163018065938508
DMSS054,2,Old,-0.0735082217284202,-0.394686806855724,-0.168234642212413
DMSS055,2,Old,0.135218181041737,0.324409538362404,-0.275441645623571
DMSS056,2,Old,-0.251723066572801,-0.257927230968172,-0.242650235327406
DMSS057,2,Old,-0.186915743931372,-0.317632269568084,-0.33290879243738
DMSS058,2,Old,-0.733722657560858,-0.836258067889088,-0.186877691862282
DMSS059,2,Old,-0.571021579070509,-0.582984312599239,-0.698910474811815
DMSS061,2,Old,-0.241285007024109,-0.0911234760807719,-0.35022583607764
dmss01,1,Young,0.136003815449786,-0.0647879484542513,-0.0273322491266214
dmss02,1,Young,-0.472117141231315,-0.177222368227651,-0.234830708569139
dmss03,1,Young,-0.498088838308904,-0.705522421733061,-0.644878154288616
dmss06,1,Young,-0.106168878247505,-0.102427793899297,-0.22921500266958
dmss07,1,Young,-0.15063116256317,0.0759064522066394,-0.0997739043142204
dmss08,1,Young,-0.195282227817775,-0.236626333600832,-0.2617792335254
dmss11,1,Young,-0.233164273155179,-0.446435472271904,-0.651887742297923
dmss13,1,Young,-0.250426821845166,-0.430875441029643,-0.513614639415145
dmss14,1,Young,-0.289472892756108,-0.191305877368212,-0.357730042831034
dmss15,1,Young,-0.18316909072788,-0.0735069278467677,-0.345915414584161
dmss16,1,Young,0.117206489035007,0.130818851525071,0.296421600446564
dmss17,1,Young,-0.0452521395457531,-0.411940826761895,-0.889331510666453
dmss19,1,Young,0.258759575784787,0.106282134616334,-0.30637668030984
dmss20,1,Young,0.0239283310056447,-0.00754328792102789,-0.202788888603548
dmss21,1,Young,0.00262151660349784,-0.166337953103526,-0.120526830633582
dmss22,1,Young,-0.163322808184475,-0.059448157561728,-0.60516686986579
dmss25,1,Young,-0.12447076543939,0.0211412882194651,-0.0298415299115403
dmss26,1,Young,-0.251285058061728,-0.228207028458682,-0.374674616924961
dmss27,1,Young,0.0777929599272256,-0.133934546673611,-0.230295250439287
dmss29,1,Young,-0.0279403333723445,-0.062202853818458,-0.0036979111507289
