trial_type,onset,duration,weight
Static_loc1,1.5,3,1
Motion_loc2,10.5,3,1
Motion_loc2,18,3,1
Motion_loc1,25.5,3,1
Motion_loc3,34.5,3,1
Static_loc1,42,3,1
Static_loc1,51,3,1
Motion_loc1,58.5,3,1
Motion_loc2,66,3,1
Motion_loc1,73.5,3,1
Static_loc2,82.5,3,1
Motion_loc1,90,3,1
Motion_loc1,97.5,3,1
Motion_loc1,105,3,1
Motion_loc3,112.5,3,1
Static_loc2,121.5,3,1
Static_loc3,130.5,3,1
Static_loc3,138,3,1
Motion_loc2,147,3,1
Motion_loc2,157.5,3,1
Motion_loc1,165,3,1
Motion_loc3,174,3,1
Static_loc3,181.5,3,1
Motion_loc3,190.5,3,1
Motion_loc3,198,3,1
Static_loc2,205.5,3,1
Static_loc2,214.5,3,1
Motion_loc2,222,3,1
Motion_loc3,229.5,3,1
Static_loc1,237,3,1
Motion_loc3,244.5,3,1
Static_loc3,253.5,3,1
Motion_loc1,261,3,1
Motion_loc2,271.5,3,1
Motion_loc3,280.5,3,1
Motion_loc2,291,3,1
