trial_type,onset,duration,weight
Motion_loc1,1.5,3,1
Motion_loc2,9,3,1
Static_loc1,18,3,1
Motion_loc1,25.5,3,1
Static_loc3,33,3,1
Static_loc1,42,3,1
Motion_loc1,49.5,3,1
Motion_loc3,57,3,1
Motion_loc1,66,3,1
Static_loc2,75,3,1
Motion_loc2,82.5,3,1
Motion_loc3,91.5,3,1
Static_loc2,99,3,1
Motion_loc3,106.5,3,1
Motion_loc1,114,3,1
Static_loc3,123,3,1
Motion_loc2,132,3,1
Motion_loc3,139.5,3,1
Motion_loc1,147,3,1
Static_loc2,157.5,3,1
Static_loc3,165,3,1
Motion_loc3,174,3,1
Motion_loc3,181.5,3,1
Static_loc2,189,3,1
Motion_loc1,196.5,3,1
Motion_loc2,204,3,1
Motion_loc3,211.5,3,1
Static_loc2,222,3,1
Motion_loc1,232.5,3,1
Motion_loc3,240,3,1
Motion_loc2,249,3,1
Static_loc1,256.5,3,1
Motion_loc2,264,3,1
Static_loc1,273,3,1
Motion_loc3,282,3,1
Motion_loc2,289.5,3,1
